Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,RCJ_318,RCJ_319,RCJ_322,RCJ_plus_DSS_301,RCJ_plus_DSS_305,RCJ_plus_DSS_313
k__(null)|p__(null)|c__(null)|o__(null)|f__(null)|g__(null)|s__(null),2.750656674,4.554712367,5.318140498,1.213570194,5.768337105,9.341237394,1.901286844,2.8606651,2.091308751,2.277213894,1.569448014,1.441895041
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__(Desulfovibrio),0.097128725,0,0.098368617,0.145204514,0,0.090898755,0.314536947,0.240769392,0.139303631,0.271626412,0.307437329,0.221050411
k__Bacteria|p__Firmicutes|c__(Firmicutes bacterium ASF500)|o__(Firmicutes bacterium ASF500)|f__(Firmicutes bacterium ASF500)|g__(Firmicutes bacterium ASF500)|s__Firmicutes bacterium ASF500,0.278879822,0.14533306,0.230367047,0.084884835,0.070233148,0.153842117,0.08198333,0.216970772,0.089170169,0.445444885,0.533076573,0.243207927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__(Lachnoclostridium),0.322649482,0.176992516,0.238479976,0.106671943,0,0.12015057,0.121467646,0.160118514,0.129446708,0.201135965,0.305940269,0.230073927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__(Ruminococcaceae)|s__(Ruminococcaceae),0.631187519,0.311578646,0.523240171,0.305750032,0.26478905,0.26041112,0.409088379,0.533879285,0.334770115,0.55357791,0.722359398,0.69704858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus sp. G3(2012),0.193207965,0.074276769,0.190872467,0,0,0,0,0.077353231,0,0.061780745,0.079462466,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__uncultured Clostridium sp.,0.104433957,0,0.072851733,0,0,0,0,0,0,0.088480893,0.124214764,0.060875291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__(Flavonifractor)|g__Flavonifractor|s__(Flavonifractor),0.100549837,0,0.077692739,0,0,0,0,0.078212369,0,0.127944637,0.147082216,0.094932118
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__(Bilophila),0,0,0,0,0,0,0.073294208,0,0,0.06945125,0.059074679,0.065958093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__(Butyrivibrio),0.111358494,0,0.075778972,0,0,0,0,0.069147698,0,0.120958355,0.147864185,0.093584249
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__(Blautia),0.263116982,0.072738553,0.150817132,0,0,0,0.063488722,0.104434065,0.066539374,0.141479914,0.138398243,0.107325304
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sartorii,0.128160529,0.168627505,0.070150853,0.608732304,0.457652401,0.405152559,0.402770888,0.094839506,0.345311261,0.274599954,0.181910709,0.344905109
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__(Alphaproteobacteria)|f__(Alphaproteobacteria)|g__(Alphaproteobacteria)|s__(Alphaproteobacteria),0.02933411,0,0.079426446,0.024776083,0.025691792,0.025748388,0.129045548,0.142904899,0.079519027,0.065011515,0.125680956,0.067450008
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron,0,0.092370092,0,0.147781926,0.169800415,0.120783348,0.107392194,0.068201103,0.116106937,0.093296179,0.057937738,0.116251074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__(Anaerotruncus),0.069991329,0.029683956,0.072486471,0,0,0,0,0.036906896,0,0.033228565,0.038820651,0.084535011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp. CAG:927,0.524392223,0.928186948,0.329821161,0.463795306,0.3502603,0.287563966,1.31564827,0.67488585,1.623372431,0.325566883,0.289935625,0.515343578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea sp. 5-2,0.411804186,0.105174834,0.269264862,0,0,0,0.148378715,0.155956585,0.103934975,0.21863768,0.343166115,0.155668507
k__Bacteria|p__Firmicutes|c__Bacilli|o__(Bacilli)|f__(Bacilli)|g__(Bacilli)|s__(Bacilli),0.163657785,0.137996955,0.069425474,0.014980887,0.08041932,0.013612435,0.031813812,0.057474747,0.038033523,0.052103871,0.044829466,0.019677849
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides acidifaciens,0.094535882,0.216872937,0.138321061,0.377439134,0.462570573,0.542784252,0.172398555,0.177409296,0.332393342,0.296844933,0.172331587,0.48689944
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__(Lachnospiraceae bacterium 10-1)|s__Lachnospiraceae bacterium 10-1,0.320694561,0.08604746,0.199237477,0.532351386,0,0.153785528,0.067851289,0.389770565,0.295131498,0.666886338,1.172140828,0.601617442
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum intestinale,1.223683029,3.099550316,0.914204107,1.700577644,1.163996612,0.448845078,5.410848325,1.95693489,4.804977232,1.064270959,0.665553458,1.075079354
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__(Rikenellaceae)|s__(Rikenellaceae),0.265457743,0.175495457,0.383530086,0.090631281,0.272150875,0.171102026,0.468816445,0.755994592,0.519870368,0.297683492,0.030759166,0.433247077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor muris,0.449544457,0.129348995,0.269372897,0.113586199,0.129734802,0.184395499,0.106352998,0.261167474,0.107294354,0.55285253,0.899876675,0.329450924
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__(Turicibacter),0,0,0,0.107134951,0,0,0.089823603,0.071195223,0.065973475,0.093152132,0.082003866,0.075264558
k__Bacteria|p__Firmicutes|c__(Firmicutes)|o__(Firmicutes)|f__(Firmicutes)|g__(Firmicutes)|s__(Firmicutes),8.638823236,3.39039135,6.364425348,4.336689062,2.343004967,4.138823167,3.1539094,6.314006378,3.189594259,8.943134602,11.7222777,6.881577932
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus flavefaciens,0,0,0,0.200101852,0.679371431,0.196706367,0,0,0,0.118046547,0.201377624,0.321533483
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__(Ruminococcus),0.131730833,0,0.141670152,0.234925212,0.592217918,0.230953524,0,0.136052378,0,0.195677611,0.284045134,0.35336787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__(Roseburia),0.409411979,0.19375855,0.303460573,0.10205215,0.058575639,0.17739379,0.151131042,0.191145205,0.153970691,0.172743265,0.231792107,0.122913248
k__Bacteria|p__Actinobacteria <phylum>|c__Coriobacteriia|o__(Coriobacteriia)|f__(Coriobacteriia)|g__(Coriobacteriia)|s__(Coriobacteriia),0.059866895,0,0,0.061755004,0,0,0.083681027,0.061657254,0.100328658,0.061811613,0.058215542,0.077667056
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__(Spirochaetia)|f__(Spirochaetia)|g__(Spirochaetia)|s__(Spirochaetia),0.015891453,0.012074219,0.020336339,0.012007346,0.008740559,0.010196465,0.013555853,0.015984071,0.011137911,0.015912053,0.021951725,0.017203327
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas muris,0,0,0,0,0,0,0.073011259,0,0.074528832,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus johnsonii,0.100380068,0.08869175,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__(Faecalibacterium),0,0,0,0,0,0,0,0,0,0.057063205,0.068159926,0
