#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom RCE_318.biom --bowtie2out=RCE_318_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id RCE_318 --nproc 48 RCE_318_QCd.fq.gz RCE_318_metaphlan_bugs_list.tsv
#SampleID	RCE_318
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.68009	
k__Viruses	10239	0.31991	
k__Bacteria|p__Bacteroidetes	2|976	47.48256	
k__Bacteria|p__Proteobacteria	2|1224	45.0429	
k__Bacteria|p__Firmicutes	2|1239	4.67371	
k__Bacteria|p__Actinobacteria	2|201174	1.68661	
k__Bacteria|p__Deferribacteres	2|200930	0.79431	
k__Viruses|p__Viruses_unclassified	10239|	0.31991	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	47.48256	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	31.85769	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	13.18521	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.30823	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.6636	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.32958	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.98391	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.79431	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.31991	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05199	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02302	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	47.48256	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	31.85769	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	13.18521	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.30823	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.6636	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.32958	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.98391	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.79431	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0.20442	
