#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom RCE_319.biom --bowtie2out=RCE_319_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id RCE_319 --nproc 48 RCE_319_QCd.fq.gz RCE_319_metaphlan_bugs_list.tsv
#SampleID	RCE_319
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	98.77448	
k__Viruses	10239	1.22552	
k__Bacteria|p__Proteobacteria	2|1224	48.90485	
k__Bacteria|p__Bacteroidetes	2|976	41.90391	
k__Bacteria|p__Firmicutes	2|1239	5.24528	
k__Bacteria|p__Deferribacteres	2|200930	1.74257	
k__Viruses|p__Viruses_unclassified	10239|	1.22552	
k__Bacteria|p__Actinobacteria	2|201174	0.97788	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	41.90391	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	41.10599	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.79886	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.60529	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.01008	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	1.74257	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.22552	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.93733	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.32124	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.30867	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.04055	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	41.90391	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	41.10599	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	7.79886	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.60529	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.01008	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	1.74257	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	1.13799	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.93733	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.32124	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.30867	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.08753	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.04055	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	41.10599	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	28.82909	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	11.00682	
