#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom Control_328.biom --bowtie2out=Control_328_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id Control_328 --nproc 48 Control_328_QCd.fq.gz Control_328_metaphlan_bugs_list.tsv
#SampleID	Control_328
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	95.7183	
k__Viruses	10239	4.2817	
k__Bacteria|p__Proteobacteria	2|1224	55.49885	
k__Bacteria|p__Bacteroidetes	2|976	29.64093	
k__Bacteria|p__Firmicutes	2|1239	9.06008	
k__Viruses|p__Viruses_unclassified	10239|	4.2817	
k__Bacteria|p__Actinobacteria	2|201174	1.21246	
k__Bacteria|p__Deferribacteres	2|200930	0.30597	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	48.36776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	29.64093	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	7.13109	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.2112	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	4.2817	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.65482	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.18812	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	0.30597	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.19406	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02434	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	48.36776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.64093	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	7.13109	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.2112	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	4.12184	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.65482	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.18812	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	0.30597	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.19406	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.14482	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.02434	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.01505	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	2|1224|29547|213849|72293	48.36776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	2|976|200643|171549|2005473	23.40174	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	7.13109	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	6.2112	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	4.63816	
