#mpa_v30_CHOCOPhlAn_201901
#/usr/local/bin/metaphlan --input_type fastq --tmp_dir=. --biom RCE_plus_DSS_313.biom --bowtie2out=RCE_plus_DSS_313_bt2out.txt --bowtie2db metaphlan_databases --bt2_ps very-sensitive --add_viruses --sample_id RCE_plus_DSS_313 --nproc 48 RCE_plus_DSS_313_QCd.fq.gz RCE_plus_DSS_313_metaphlan_bugs_list.tsv
#SampleID	RCE_plus_DSS_313
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.86185	
k__Viruses	10239	0.13815	
k__Bacteria|p__Proteobacteria	2|1224	65.67123	
k__Bacteria|p__Bacteroidetes	2|976	25.53087	
k__Bacteria|p__Firmicutes	2|1239	5.15998	
k__Bacteria|p__Actinobacteria	2|201174	2.28472	
k__Bacteria|p__Deferribacteres	2|200930	1.21505	
k__Viruses|p__Viruses_unclassified	10239|	0.13815	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	38.68973	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	26.97765	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.53087	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.19197	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.25615	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.28532	
k__Bacteria|p__Deferribacteres|c__Deferribacteres	2|200930|68337	1.21505	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.36703	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.31566	
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.13815	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02857	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00386	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	38.68973	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	26.97765	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	25.53087	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.19197	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.25615	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.28532	
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2|200930|68337|191393	1.21505	
