Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum,471,592,327,713,648,497,390,1075,1327,659,638,557,902,726,522,877,1048
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium,1031,1098,793,1578,1432,965,922,1572,1808,1570,972,1156,1251,1619,1384,1501,1563
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea,649,919,553,1227,1107,711,650,1822,1486,1184,817,724,1093,1264,889,1170,1459
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium,8154,7200,8436,10320,8756,6957,7087,10653,9725,10405,7158,7441,6402,9905,8241,9520,9818
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter,3272,2267,4145,1959,1465,1803,2570,2265,1884,2286,2254,1976,1275,2154,1615,2124,2563
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga,3142,3103,2476,4018,4008,2516,2742,5160,5134,4240,3398,3057,3856,4362,3012,4003,4431
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens,1362,1567,1432,1534,1582,939,1180,1465,1618,1322,951,990,935,1495,796,1737,1641
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella,1220,1303,1072,1588,1351,1052,993,1736,1653,1538,1125,1044,1212,1660,1256,1445,1616
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tenacibaculum,1081,826,1321,779,661,733,926,1007,826,945,1173,774,819,758,611,829,1053
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter,1070,1014,1115,1202,1115,816,1009,1144,1021,1116,718,914,547,1206,804,1343,1089
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa,997,554,876,741,524,479,644,901,832,979,702,742,558,882,904,664,911
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita,967,752,631,952,957,560,643,996,1006,991,600,687,673,1020,806,991,928
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Dokdonia,888,1078,836,902,913,674,698,745,1099,874,690,724,738,888,495,865,1248
