Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,4816,2691,2908,2537,2034,2037,2606,4999,6491,5610,3501,3933,4901,6185,5596,5686,3136
d__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales,642,392,370,410,414,317,400,691,794,882,530,851,498,933,871,764,691
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae,3740,2824,2705,2142,2441,1676,2337,2973,3353,3569,2974,3211,2914,4115,3196,3461,3498
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae,2828,1379,2764,1017,1006,1086,1696,1470,1329,1760,1859,1687,1286,1784,1737,1707,2074
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae,1290,606,1124,508,608,546,743,674,670,909,862,829,513,1124,870,884,900
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales,5570,3967,7614,4900,3279,4518,5068,5795,2673,4524,4406,4250,1998,3801,4020,4288,4648
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales,3423,2297,4931,2923,1355,2662,3010,3464,1599,2795,2703,2485,1196,1988,2501,2442,2791
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales,1167,1168,1477,1750,573,1531,1041,3320,566,2581,1006,1659,510,1338,3771,1894,1238
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales,1988,1277,1200,1415,1400,908,1117,1501,1640,2090,1254,1690,1440,2416,2143,2089,1815
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales,1271,804,768,623,741,570,767,891,858,1315,717,958,873,1690,1369,1200,1068
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,582559,931446,717398,453411,134459,208816,770625,374302,210517,802056,507517,451709,155156,453313,928552,282521,526750
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales,901,783,920,597,452,525,645,706,542,903,692,759,363,1032,1181,698,727
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,16028,6824,10325,13320,6170,7782,10747,11799,16472,16511,20587,20408,11611,33967,34502,26398,14018
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales,4983,2880,3977,3185,2490,2436,3087,3869,3904,4328,5039,4658,4691,6059,4901,4537,4156
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales,4863,3295,2962,2823,2841,1893,2931,3514,4082,4978,3882,4679,3925,4937,4159,4184,4846
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales,4817,3212,2738,3139,2629,1876,2817,3873,4982,4407,3954,4522,3968,5354,4570,3946,5349
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales,928,576,602,738,555,521,599,1247,906,1040,806,917,601,1268,1114,817,765
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,40455,27369,35441,37262,336919,17165,27348,83596,33255,43782,30903,31017,25271,38207,30733,32327,38093
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,27045,18760,20802,16797,17058,12218,17238,21945,22879,23794,19670,21793,18452,27730,21645,22989,24758
