Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae|g__Arsenicicoccus,0.0015667334971159468,0.0009706659361506733,0.001016717986277265,0.0011517277973617207,0.0006410054120580021,0.0008730120703054892,0.0009430296162380269,0.0009786580884955072,0.0010708209230476356,0.000842750652597175,0.0007715053043019948,0.0009289030027099197,0.00215558566134496,0.0015645823749360858,0.0015788885286872585,0.0014275996411014502,0.001205525929941865
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae|g__Phycicoccus,0.0011624151752795734,0.0007010365094421529,0.00105368954941462,0.0018098579672827038,0.0023010450689261615,0.0008730120703054892,0.0010805547686060725,0.0013980829835650102,0.0010840409344432854,0.0010691612756829835,0.001888157718423303,0.0018784482943689487,0.0028072743496585528,0.0030205131960571656,0.0017062182487426825,0.0024507127172241562,0.0011887825142482282
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae|g__Ruania,0.005424604151304676,0.0019413318723013465,0.0021258648803979176,0.0030438520358845476,0.0022353009240996995,0.001441485046318366,0.002239695338565314,0.0033553991605560244,0.00223418192586482,0.0029559164680647188,0.0034108655558614505,0.0033440508097557107,0.005439094052463446,0.00601929608135133,0.005475177962383235,0.0047824587976898585,0.0036835514526001437
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermatophilaceae|g__Mobilicoccus,0.002409063334275058,0.0011189621208403595,0.001460376743925526,0.0009323510740547262,0.0003944648689587706,0.0006496834011575734,0.0016306553780782549,0.0007514696036661929,0.0012559010825867333,0.0009559559641400792,0.002416029768735194,0.001899090583318058,0.0023310403081986198,0.0022382220085891227,0.0029795154492969233,0.0012134596949362328,0.001942236220461894
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae|g__Yimella,0.0018194324482636805,0.002224442770345293,0.002440123167065436,0.005978015710115598,0.003928212653381089,0.0028626674863505576,0.002220048888227022,0.00206217240075839,0.0010311608888606862,0.002540830325740737,0.0010354413294579403,0.0024564323849440095,0.0009524680829198661,0.004976241164727273,0.003463368385507535,0.005091772053261839,0.0026789465109819228
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus,0.0014488073199136714,0.000768443866119283,0.0007764028258844569,0.0009871952548814748,0.0008382378465373873,0.0005278677634405284,0.0006876257618402279,0.0013281788343867597,0.0009650608318824371,0.000842750652597175,0.0014211939816089376,0.0014243179374885436,0.0030579238451637807,0.0019774582794331082,0.0012987631445653257,0.0012610463496396144,0.0019254928047682568
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae|g__Georgenia,0.0033019329616637157,0.0015503692035739919,0.002865296143145019,0.002111500961829821,0.0011833946068763117,0.0014008798337460176,0.0020039379345058073,0.0018349839159290757,0.0016657214358518776,0.0024024682782994096,0.002416029768735194,0.004066530922974537,0.0034589630379721456,0.005323926136935292,0.0045838699219952666,0.0037117590668637704,0.0023775650284964564
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae|g__Sanguibacter,0.0026112224951932448,0.0013211841908717496,0.0020149501909858523,0.0013162603398419665,0.0006410054120580021,0.0006496834011575734,0.001984291484167515,0.0014155590208595728,0.0017053814700388273,0.0013584637385148494,0.003086021217207979,0.003633042855043242,0.0030579238451637807,0.004346062152600238,0.004150948873806825,0.002617266008685992,0.0015069074124273315
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Beutenbergiaceae|g__Beutenbergia,0.0009434094176182045,0.0005931847387587448,0.0005730592286290039,0.001645325424802458,0.0008875459551572337,0.00022332866914791586,0.0008447973645465658,0.0009262299766118192,0.0010708209230476356,0.0010565829077337717,0.001319680125779728,0.0015894562490814182,0.0015038969730313675,0.0016732339287510918,0.0020118095768757007,0.0014038063137497593,0.0012557561770227762
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Kytococcaceae|g__Kytococcus,0.001482500513400036,0.0007549623947838569,0.0007764028258844569,0.0018372800576960783,0.0012491387517027733,0.0005481703697267025,0.0008251509142082736,0.0017476037294562627,0.0013748811851475816,0.0012326800590227336,0.0010151385582920984,0.0009908298695572475,0.002757144450557507,0.0020861098332481142,0.0020118095768757007,0.002331746080465702,0.001205525929941865
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.7642121680609752,0.3846128957283688,0.22617353749276975,0.21452301330382714,0.25922916305073873,0.5535708629988249,0.19121890114259826,1.2267653899664128,0.7110515329264213,0.32277349994471805,0.7779818883038984,0.3860520879262426,0.8573465993756321,0.346902681020551,0.3253274347416085,0.5885755386987762,0.3280704871011237
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia,0.005677303102452409,0.0025210351397246655,0.0038265567847162512,0.003921358929112525,0.0027119459740915473,0.0024363127543409,0.0028094423983757886,0.0017476037294562627,0.000898960774904188,0.0027295058449789108,0.001197863498784676,0.002724782141282431,0.0012281825279756168,0.005715071730669313,0.004227346705840079,0.005329705326778747,0.0017413152321382498
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella,0.003605171703040996,0.0016447395029219741,0.003253497556087248,0.003948781019525899,0.0016764756930747746,0.0017460241406109785,0.002239695338565314,0.003687443869152714,0.00226062194865612,0.002679192373182064,0.003207837844203031,0.004500018990905833,0.003032858895613258,0.005019701786253275,0.007385123763214597,0.004639698833579713,0.003298452891646492
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia,0.003251393171434169,0.0011863694775174896,0.0020519217541232074,0.0011243057069483464,0.0006903135206778484,0.0007918016451607926,0.0010609083182677803,0.0014330350581541354,0.0004627003988477438,0.0013458853705656379,0.0010760468717896242,0.001713309982776074,0.0013535072757282307,0.002520716048508138,0.0024192646810530577,0.0018796728607835761,0.0017748020635255236
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium,0.0513652734699626,0.027057312970200014,0.030963684127534887,0.0450270724587606,0.02836859849261825,0.02371344414225143,0.034970681602160165,0.043515332863460945,0.03932953390205822,0.035798035183456124,0.046249712715788004,0.06300026587268166,0.05664678598418151,0.06616879627333863,0.06167851639484743,0.05846020530310439,0.051268338853916545
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium,0.04183009971332146,0.02095020645525203,0.02710015577968128,0.035539029175733095,0.021596951575492688,0.01997776458559538,0.027544323374285706,0.031526771279390985,0.03262698812446376,0.030703796164025438,0.043447930294901814,0.04908736312098198,0.05469171991924073,0.054738652811999994,0.052994629487067506,0.05079875389585993,0.04383426228594171
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacteroides,0.011388299398391184,0.005230810878145295,0.006506995112174496,0.004689177460687006,0.003073538770637087,0.003045390942926125,0.005127723538294272,0.006780702470290299,0.006332385458516265,0.004540790829665377,0.006984153281049637,0.008834899670218792,0.009374291131895524,0.011473604082864628,0.010619298652622369,0.00968388423213817,0.01028045723589313
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacter,0.002307983753815965,0.0010515547641632293,0.0014049193992194933,0.001535637063148961,0.0007067495568844639,0.0008933146765916634,0.0017485340801080085,0.001450511095448698,0.0011501409914215345,0.0019496470321277934,0.0017460383202624091,0.002539001540740447,0.003007793946062735,0.00347684972208019,0.002521128457097397,0.0026886459907410646,0.002260361118640997
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium,0.10898063433164581,0.06477846976672201,0.08340784643787308,0.11073040108920543,0.07282807643151301,0.06068449018937459,0.07501014739159972,0.09206376446775592,0.08389419231679378,0.08066507365829378,0.10049871727091775,0.12205785455608345,0.12915968503384395,0.14900474090189916,0.14097946604536554,0.14080891126730638,0.11390545696381262
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus,0.036456035352246334,0.02392961162038118,0.02621283826438476,0.04022820663642011,0.02652776243747732,0.020525934955322084,0.02662094020838597,0.031229678645383417,0.027352203577599484,0.028100073998538644,0.03514409688807245,0.03758960817632809,0.04759833919644278,0.052522161114173876,0.04904740816534936,0.04872873441626283,0.038878211240625155
