Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides helcogenes,3110,4980,2622,5190,5559,3057,7334,6563,16546,7767,4845,3761,5708,6044,3041,5327,8773
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides heparinolyticus,3039,5114,2749,5627,5975,3505,6126,7258,13126,7638,5019,4041,5851,6467,2995,6140,7912
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides zoogleoformans,3014,4659,2804,6320,6273,3533,5534,7548,11674,7313,4251,3920,4991,6475,2826,6909,7045
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides cellulosilyticus,2732,4000,2151,4674,5380,3762,5105,7043,11111,7336,3794,3362,4409,5674,3127,5312,6317
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides intestinalis,2693,3678,2155,6993,7139,4459,5168,8841,11008,9612,3535,2936,3503,6189,3530,6188,6213
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides coprosuis,766,1213,724,1855,1655,1163,1154,2094,1947,1998,1068,1033,989,1582,847,1634,1567
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes shahii,17753,17200,11189,23048,64597,41776,25131,41543,24994,78694,43369,69147,19168,29498,14546,45963,28938
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes communis,17300,17543,11721,21092,29914,29105,26324,29210,23549,50557,31623,61789,18755,24679,6554,22034,24628
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes dispar,16774,15746,10358,18549,38608,36961,22770,27646,18894,63445,38736,66618,14447,26501,6805,23518,24439
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes finegoldii,15759,15289,9497,16931,32295,30858,21698,24400,20203,48179,34922,60608,16665,23163,6713,22353,23036
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes megaguti,15102,14869,9873,19520,33390,28492,21203,29240,19687,54750,32783,56010,15350,23682,6937,22532,22702
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes onderdonkii,14952,14624,9307,17206,32244,32171,20982,25672,20125,49125,32464,57110,15831,23253,7610,23256,23053
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes indistinctus,4274,5280,3488,22663,6437,5203,5033,14112,7608,8444,6587,8632,6201,6269,3068,6260,7983
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp. dk3624,3265,3351,2605,4898,4839,4223,4290,5603,5406,7212,4583,7959,4649,5345,2968,5672,5350
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri,10990,22947,17205,18702,25690,14302,14979,13407,12386,13568,5704,10100,5110,18354,1980,22145,15613
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella dentalis,9736,16293,10696,12963,16150,8596,10838,11546,15032,10183,9970,10333,11371,13065,2935,15227,16013
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella intermedia,8919,16178,11384,14604,18167,10515,11130,12038,12979,11613,6803,8926,7149,14271,3771,15693,13667
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella denticola,7958,14924,10430,12492,15712,8725,9779,10804,11747,9284,6399,8126,6976,12263,2307,14152,12991
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella ruminicola,6408,11579,8167,9178,12451,6688,7809,7598,8547,7108,4558,6122,4190,9718,1839,10912,9164
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. WR041,3073,5650,4078,4292,5970,3360,3644,3769,4514,3431,2705,2663,3089,4192,865,5097,5054
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella sp. oral taxon 299,1984,3619,2728,3124,3951,2198,2534,2838,2861,2588,1402,2186,1506,3355,624,3795,3012
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris,4009,7464,5534,5680,7724,4264,5048,4758,5137,4646,2732,3876,2795,6240,899,7087,5565
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella fusca,3551,6742,4459,5427,6534,3847,4417,4944,5255,4070,3077,3380,3648,5358,1074,5926,5426
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella enoeca,3451,5661,3943,4885,6216,3253,4034,4973,5083,4309,2799,3527,3017,5052,1091,5570,5073
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella melaninogenica,3417,6073,4470,5335,6834,3633,4197,4600,4958,4291,2832,3285,3216,5256,1193,6032,5221
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella jejuni,1722,2973,1948,2301,2964,1676,2016,2363,2443,2080,1392,1527,1692,2478,598,2512,2750
