"Control_328"	"Control_330"	"Control_327"	"DSS_334"	"DSS_339"	"RCE_322"	"RCE_318"	"RCE_319"	"RCE_plus_DSS_305"	"RCE_plus_DSS_313"	"RCE_plus_DSS_301"
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum"	5.4245862262511	4.45668930596358	4.46621698736482	5.78518699673992	5.76215243135806	5.87710292114155	5.33017197705272	4.92738473274212	4.26205267877317	5.21083003705598	4.90471429531483
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas"	4.48864353985378	3.77391062860387	3.59793517775882	5.16279484728946	5.18902477726012	4.67221375657244	4.30025326254395	3.98523290663296	3.98982373685843	4.6770301412342	4.31370936288683
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter"	3.98337368141259	3.31744208200925	3.39918464043007	4.8585281413535	4.62659130555934	4.33999887771416	3.98649772178191	3.64664455859938	3.65091546663878	4.13486272767715	3.92910425525505
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae|g__Salinivirga"	3.24285652389616	2.81255922769568	2.64982899727316	3.9126630896958	4.06324484836553	3.13393608749177	2.51348101604163	2.83770288904888	2.67922456631336	3.58880798067245	3.08786417303662
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum"	3.44183755862256	2.58818455013694	2.6421324435965	3.80586960621112	3.88028444617868	4.07666984154574	3.43137269825318	3.03211066462858	3.00021041275336	3.65067795792307	3.15279876334471
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium"	4.27052894238072	3.71785898309115	3.64104906772348	4.89430872858624	4.96959058986607	4.5244999175286	3.99207238683453	3.99109240281386	4.29001742506823	4.37739037870836	4.21749247002369
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea"	4.02827445399518	3.2446350514299	3.03980393019878	4.54515770295898	4.61166944242428	4.33874471464568	3.75855129764315	3.36915701925504	3.6919185918387	4.03748019060701	3.88200348690875
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae|g__Labilibaculum"	2.99699125012766	2.92749747641852	2.17545622575781	4.12180827271842	3.99397109786969	2.95233192629213	2.87503341624246	2.86092788132117	3.35439454920497	3.42496847501808	3.29062758182768
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium"	6.91886323727459	7.02610189481618	6.51978300011428	7.56189260126233	7.54279339042889	6.82860214208154	6.79203902604395	6.5987052455633	6.80128692897538	6.98274026491243	6.76416819922553
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter"	5.27736489979683	6.01232848561758	5.22571806772862	5.19686316490316	5.00142220678944	4.55073493742107	5.15302012306693	4.72638414116603	4.50212041016724	4.85774492312199	4.6100164626279
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga"	5.72018724490888	5.28395526796248	5.16882281398302	6.21292497457064	6.4245403335106	6.10554099828236	5.73150249450152	5.33651611007198	5.37147304830165	5.74849617895632	5.59776932756768
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens"	4.76110794006401	4.52072219376652	4.01435060272185	4.85490078714384	5.10893628149556	4.12548790631103	3.96256209862664	3.782584578686	3.54548766078158	4.57860212590463	4.10895292774676
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella"	4.50567925119669	4.12394887045942	3.86585894223547	4.9031169180764	4.88834476511835	4.48082351297432	4.19058569582875	3.8537731840565	4.15750616350752	4.32522349257653	4.25165605737722
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tenacibaculum"	3.8842722929465	4.40959259293954	3.70401254900371	3.92482450582962	3.90701282682446	3.94604494725304	4.24762693013093	3.45645299666276	3.20082641582595	3.5761090965133	3.20816268702499
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter"	4.16188768237689	4.17749307425173	3.69039443236181	4.51674400911888	4.62163448003778	3.40953280543736	3.58682237449769	3.67604105884081	3.55868475875619	4.22506906460314	3.81893531305292
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Formosa"	3.35520424976166	3.85104269652693	3.59660836876719	3.85753787203848	3.5968568483575	3.43557814489818	3.55704359998838	3.40119544373304	3.71420442198206	3.28567035921575	3.40462788465686
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aequorivita"	3.75844532157666	3.41605667503186	3.55622585244476	4.19679654130196	4.41082470349034	3.68295288682456	3.35122356953813	3.30097762059352	3.56196525651133	3.81371104397715	3.59579632619155
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Dokdonia"	4.24539424669806	3.78839039036312	3.44413942343619	4.12331672588984	4.34618557280687	3.80603956690288	3.53429907659188	3.36915701925504	2.93339088136695	3.63239395672712	3.41348812457461
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Winogradskyella"	3.71699089440494	3.95024878377737	3.41733499325288	4.20963444043351	3.55586916476884	3.47264215203691	3.52855647350486	3.41869186278114	3.95281557861833	3.54223275014473	3.33015720245535
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Aquimarina"	3.58496250072116	4.17871494651422	3.37617079599165	3.9454370676876	3.8466933117731	3.30808872859597	3.89870154778998	3.3781281842301	3.5471439150644	3.3616322119268	3.31447508588576
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides"	3.18586654531133	3.28149780283094	3.32581214234631	3.3655029901772	3.30381556191992	3.55271050940059	3.46383151584802	3.02527405540322	3.10737451364508	3.02102441109121	2.9444393336316
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muricauda"	3.63614122464672	3.32628994624498	2.96156729894064	4.25024064571998	4.39348110946803	3.89916882392662	3.52086393818885	3.63471616633109	3.44246278676308	3.92930579997599	3.78747271605315
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea"	3.8842722929465	3.21397463796488	2.87447057774593	3.88091185280368	4.62782785545538	3.99463467293849	3.47183338355889	3.19733555810979	2.72384212916505	3.76278889024536	3.41642948683838
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga"	3.24285652389616	3.90371675381081	2.87447057774593	3.32674680155843	3.56622577169567	2.98476616009412	3.31609738518191	3.04117603805043	2.902670061264	3.13363909983372	3.0841695522905
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lacinutrix"	3.04147663597616	3.3611485572234	2.81181676514175	3.03135460018914	2.47904991361872	2.67069440907142	2.89004033402542	2.44893855374966	2.43632519424864	2.64288988616422	2.07669788605756
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Algibacter"	3.17791779219584	3.321872796969	2.73188711268736	3.59374449435137	3.8466933117731	2.24742633983502	2.9341466090108	2.53488272714334	2.68825915133728	3.06485976392229	2.99056323887716
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Antarcticibacterium"	3.12928301694497	2.69792790614806	2.49322487928857	3.92136026376156	3.72486708172236	3.78040156085393	3.37488608750058	3.04343350873507	2.91554999554962	3.11180844374429	3.11708538470234
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Arenibacter"	1.47681369686553	1.8195475592439	2.41408774944744	2.31334740706898	2.3106382874533	1.54506384171953	1.47490828044893	1.57156006061191	2.20829662609714	2.02539830850272	2.00034113913513
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Salegentibacter"	2.4240262825061	2.29107669601292	2.32715997235019	2.81319122048073	2.33506959041862	2.46536260103546	2.52506337738527	1.85470931435457	2.11757439173616	2.04396188744033	1.85180628549988
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mariniflexile"	2.25801633106717	1.74891538570976	2.30133010714284	1.68792914208386	1.20994057708486	2.34559793970029	2.30534802537595	1.66835009046216	1.29190837861297	1.37564184032564	0.976507596729332
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroflexus"	2.73335434061383	2.73161955441261	2.21749556481629	2.97231454213341	3.177781029527	2.01593805644913	1.86346505264612	1.81825937830724	1.51140893016394	2.48542003595577	2.17723202034439
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Olleya"	2.22753572461241	2.55092519888129	2.20012779964669	2.33433953160354	1.87535783608597	1.6377245771474	2.01900332009532	1.6566005464101	1.60343238716739	1.7927480611566	1.89039810946644
"d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavivirga"	1.70781924850669	2.92167104600099	2.15396807340063	1.59531276541382	1.19666944090473	1.43669230838316	2.22714175443177	1.52061574348973	1.60343238716739	1.83066316621588	1.05410264166645
