Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria,932432,718428,583542,454057,135000,155545,508305,452595,930133,283295,454583
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,18210,22103,33435,24655,16067,26103,36152,37189,51233,41820,54026
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,125758,134513,151252,103784,427469,94102,106823,120281,113346,120368,147261
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria,213333,70181,146466,108517,49493,323666,327757,159808,73588,306794,151335
d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,58583,54840,80670,51743,52225,66133,64697,75270,67431,73270,88423
d__Bacteria|p__Proteobacteria|c__Oligoflexia,652,1132,1030,654,465,515,686,733,870,766,1078
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia,594,526,592,461,569,327,363,553,424,709,688
d__Bacteria|p__Proteobacteria|c__Zetaproteobacteria,202,151,269,181,182,196,136,195,182,217,299
d__Bacteria|p__Spirochaetes|c__Spirochaetia,40831,48064,72192,48091,17248,10293,29472,23572,40848,46790,44860
d__Bacteria|p__Planctomycetes|c__Planctomycetia,5074,4489,6355,4167,4607,5472,4659,5736,5014,5808,6332
d__Bacteria|p__Planctomycetes|c__Phycisphaerae,752,720,1225,562,507,954,946,924,718,810,913
d__Bacteria|p__Planctomycetes|c__Candidatus Brocadiae,81,153,157,56,44,139,102,58,61,91,89
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,3009,2059,2762,4170,3816,4061,3549,3782,2733,4462,4441
d__Bacteria|p__Verrucomicrobia|c__Opitutae,1495,1086,1206,1377,1532,1285,1085,1349,769,1536,1584
d__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae,110,96,133,47,63,80,92,101,153,100,121
d__Bacteria|p__Verrucomicrobia|g__Methylacidimicrobium,71,55,84,77,54,126,86,106,73,74,125
d__Bacteria|p__Chlamydiae|c__Chlamydiia,659,1074,942,565,550,375,701,748,887,866,930
d__Bacteria|p__Candidatus Omnitrophica|g__Candidatus Vampirococcus,39,77,195,41,57,30,31,82,142,68,157
d__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae,103,80,172,148,38,134,167,162,121,155,148
d__Bacteria|p__Fusobacteria|c__Fusobacteriia,5451,10355,8324,6695,3281,2535,5345,5442,5794,5397,6186
d__Bacteria|p__Thermotogae|c__Thermotogae,1622,2489,3071,2021,1317,1506,2021,2259,2395,2378,2897
d__Bacteria|p__Acidobacteria|c__Acidobacteriia,1867,1536,2135,1607,1875,1770,1636,2151,1517,2247,2347
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria,169,140,150,160,162,85,125,182,98,162,227
d__Bacteria|p__Acidobacteria|c__Holophagae,60,104,96,42,23,70,85,70,76,106,85
d__Bacteria|p__Acidobacteria|c__Blastocatellia,60,51,77,54,76,102,123,145,84,101,109
