Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Salinibacterium|s__Salinibacterium sp. dk2585,0.0027057817360598667,0.0037549030820400947,0.004923387342316643,0.0076020478585696796,0.005661375042318778,0.003349077770337897,0.00440148070569297,0.003313958435691888,0.0016620622003509613,0.0025112097208492825,0.001180132469869743,0.002866577441432691,0.001067038581918278,0.0059278532623437625,0.0016202577830132774,0.006476287368178114,0.0033282625028194833
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Salinibacterium|s__Salinibacterium sp. UTAS2018,0.0015152377721935253,0.0015019612328160382,0.0015547538975736767,0.0022070461524879717,0.002604232519466638,0.0017197966928762173,0.0015702579814904653,0.001047638473218726,0.0013961322482948073,0.001146737386977418,0.0005163079555680126,0.0008190221261236261,0.0012553395081391506,0.002566972171639933,0.000660105022709113,0.0032675813539444127,0.0018019255588513127
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Clavibacter|s__Clavibacter michiganensis,0.0031603530677179244,0.002049551265613552,0.001878660959568193,0.004168864954699502,0.002792945020877264,0.001651909981315314,0.0028550145118008455,0.004276075400892759,0.004670394782986201,0.0026563663521122468,0.004253394110155531,0.004143288402743049,0.005052741520260082,0.005028089820738013,0.003120496470988534,0.006564600377744179,0.00570256441565886
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microterricola|s__Microterricola viridarii,0.00222956415051333,0.0012985706492055328,0.0014251910727758705,0.003293052989426497,0.001660670012413508,0.0012445897119498942,0.001498882618695444,0.002822209764589221,0.000980616698207067,0.0019741301851763145,0.002040645729149764,0.00236071083412104,0.001883009262208726,0.004551744469299675,0.00327052033978606,0.003120393004667637,0.0018019255588513127
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Diaminobutyricimonas|s__Diaminobutyricimonas sp. LJ205,0.0017533465649667936,0.0012829252196970326,0.0010365025983824514,0.002452273502764413,0.000603880004514003,0.0011540740965353565,0.0021888444590473146,0.0018814731763928138,0.002493093300526442,0.0006532048406833394,0.0016472682391931827,0.0013248887334352775,0.003075581794940919,0.0015084269462214037,0.0017402768780512981,0.0014718834927677533,0.0023319036643958163
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae|g__Microcella|s__Microcella alkaliphila,0.000952435171093073,0.0010013074885440252,0.0006694079281219998,0.0037484752113684594,0.0014153437605796946,0.0014256209427789697,0.0011420058047203383,0.0019669946844106693,0.0004986186601052883,0.001480597638882236,0.0006146523280571578,0.00118035541706052,0.0020399267007261196,0.00156135420749233,0.002340372353241401,0.00226670057886234,0.0013779430744157097
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter sp. FB24,0.0029871830366100926,0.003301185626293584,0.003411821053008902,0.0055351316205253884,0.004472486283431835,0.0035527379050206073,0.003426017414161015,0.003121535042651714,0.0015124766023193745,0.001683816922650386,0.0012293046561143155,0.0020234664292466055,0.0007532037048834904,0.006298344091240247,0.0016202577830132774,0.006446849698322759,0.0027982843972749797
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter sp. PAMC25564,0.002056394119405499,0.0010013074885440252,0.00114447161904729,0.0014713641016586476,0.0005850087543729405,0.0005204647886335921,0.001308548317908721,0.0008765954571830157,0.0025928170325474993,0.0007693301456937108,0.0028028146159406395,0.002240266403808742,0.002008543213022641,0.0027522175860881753,0.002370377127000906,0.001736822521465949,0.003264665130154143
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter sp. U41,0.0017100540571898357,0.0006101717508315155,0.000820564557052774,0.0038886051258121405,0.0008492062563478167,0.00045257807707268876,0.0012609647427120401,0.0034850014517275986,0.0012964085162737496,0.0011757687132300109,0.0011555463767474567,0.0013730665055601966,0.0019457762376156834,0.0026992903248172486,0.0027304344121149675,0.002619952617126601,0.0016747308135206319
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter citreus,0.006039304834885623,0.0026284321574280667,0.0060894527654969015,0.010124386318555932,0.0018305112636830718,0.0036432535204351446,0.0037828942281361204,0.0062216897082989645,0.001878130286396586,0.0036144001184478113,0.004007533178932668,0.005636799338615544,0.002950047844127004,0.0054779715415408875,0.006270997715736574,0.005563719602662107,0.004430616962352051
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter alpinus,0.003831386938260771,0.0018305152524945465,0.0019218485678341285,0.00185672136637877,0.0007359787555014412,0.0009730428657062809,0.0022126362466456553,0.0017745712913704952,0.002310266458487836,0.0014660819757559393,0.00299950336091893,0.0031074663020572873,0.004487838741597463,0.004128326379132263,0.003540563303621606,0.0037385840716300934,0.0025014966581700577
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter crystallopoietes,0.003333523098825756,0.0020026149770880504,0.002375318454626451,0.001996851280822451,0.0010379187577584429,0.0011088162888280876,0.0022840116094406766,0.0020311358154240606,0.0025263345445334607,0.0016112386070189035,0.001991473542905191,0.0029388440996200704,0.003326649696568749,0.004445889946757821,0.003450548982343091,0.004032960770183644,0.004155028347468909
