#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	0	0.46593	0.00646	0.06569	0.45171	0.04586	5.65494	0.07481	10.77022	1.19432	0.3597	0	1.23974	0.67167	0.25391	0.11569	2.66671
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	0.04931	0.01374	0	0.31146	0.2523	0.31679	0.31131	0.65298	0.57083	0.27878	0.09473	0	0.0159	0.15939	0.09817	0.39465	0.22028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	0.04931	0.01374	0	0.31146	0.2523	0.31679	0.31131	0.65298	0.57083	0.27878	0.09473	0	0.0159	0.15939	0.09817	0.39465	0.22028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0.04565	0.00635	0.07116	0.07169	0.10048	0.10736	0.10089	0.07404	0.62264	0.00995	0.03634	0.00867	0.03059	0.01679	0.02448	0.09148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified	0	0.04565	0.00635	0.07116	0.07169	0.10048	0.10736	0.10089	0.07404	0.62264	0.00995	0.03634	0.00867	0.03059	0.01679	0.02448	0.09148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0	0	0	0	0	0	0.01648	0	0.0299	0	0	0	0	0	0	0	0.00573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname	0	0	0	0	0	0	0.01648	0	0.0299	0	0	0	0	0	0	0	0.00573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8	0	0	0	0	0	0	0.01648	0	0.0299	0	0	0	0	0	0	0	0.00573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8|t__GCF_000311925	0	0	0	0	0	0	0.01648	0	0.0299	0	0	0	0	0	0	0	0.00573
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	7.62676	10.28255	8.85482	74.18943	33.82781	35.29784	30.39472	42.5918	31.46066	41.55014	18.02956	17.81107	41.14447	31.26714	27.34982	48.82387	24.22637
