feature,metadata,value,coef,stderr,N,N.not.0,pval,qval
GLUTAMATE-DEHYDROGENASE-RXN,DSS_only,TRUE,0.943495475205069,0.113149774168226,12,12,6.98937345437728e-05,0.0061380677676341295
2.4.1.54-RXN,DSS_only,TRUE,0.88773547458629,0.106633532437207,12,12,7.06179381219266e-05,0.00619134841184784
GLUTAMATE-DEHYDROGENASE-NADP+-RXN,DSS_only,TRUE,0.9818948837750021,0.11849934943171801,12,12,7.27826938333473e-05,0.0063180654093356395
3.1.1.47-RXN,DSS_only,TRUE,0.785663089038492,0.0971260265788909,12,12,8.491917787394e-05,0.00684194604839792
3.2.1.40-RXN,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
D-THREO-ALDOSE-1-DEHYDROGENASE-RXN,DSS_only,TRUE,1.03047585992565,0.127996073194527,12,12,8.753389999975959e-05,0.00684194604839792
QUERCITRINASE-RXN,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
RXN-13788,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
RXN-14574,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
RXN-16248,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
RXN-16249,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
RXN-16250,DSS_only,TRUE,1.1588826287271699,0.14394609628427998,12,12,8.75359806858772e-05,0.00684194604839792
TYROSINE-PHENOL-LYASE-RXN,DSS_only,TRUE,1.14702954982832,0.142403522962626,12,12,8.72602825823344e-05,0.00684194604839792
3.4.13.20-RXN,DSS_only,TRUE,0.9641309626497849,0.120148070268979,12,12,8.93846881022849e-05,0.00687068998612049
RXN-19944,DSS_only,TRUE,0.9641309626497849,0.120148070268979,12,12,8.93846881022849e-05,0.00687068998612049
DCMP-DEAMINASE-RXN,DSS_only,TRUE,0.5955248105249991,0.074693496784533,12,12,9.31440400346611e-05,0.00710781427589625
3.4.14.5-RXN,RCEwDSS_only,TRUE,0.738891948057551,0.0930846146427685,12,12,9.57998238180916e-05,0.00723905510158207
1.8.98.1-RXN,DSS_only,TRUE,1.7891763401210001,0.23242941822120602,12,10,0.000116466053752916,0.00830985687792643
RXN-15203,DSS_only,TRUE,1.2216565255271201,0.161345882156551,12,12,0.000129300340662714,0.008793603076270121
RXN-11691,DSS_only,TRUE,-0.41576048101777896,0.0553308219211954,12,3,0.00013568768216625402,0.00898197908128674
ARYLSULFAT-RXN,DSS_only,TRUE,0.748452026943486,0.100298945085676,12,12,0.000141748079635843,0.00927248890399981
RXN-20165,DSS_only,TRUE,0.748452026943486,0.100298945085676,12,12,0.000141748079635843,0.00927248890399981
TRYPTOPHAN-RXN,DSS_only,TRUE,1.19305295498471,0.1598547815524,12,12,0.000141611357598575,0.00927248890399981
PROTEIN-KINASE-RXN,DSS_only,TRUE,-1.80456540232664,0.243084958109339,12,10,0.000146457640272547,0.00953322542463376
RXN-19792,DSS_only,TRUE,1.05092598142603,0.14293559274447698,12,12,0.000155605819414412,0.0098675184104085
RXN-2103,DSS_only,TRUE,1.05092598142603,0.14293559274447698,12,12,0.000155605819414412,0.0098675184104085
AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN,DSS_only,TRUE,-1.44911660932675,0.19820011444478,12,12,0.000161177312367645,0.0100684705907243
3.2.1.131-RXN,DSS_only,TRUE,0.8262581531528391,0.114241276822977,12,12,0.000172511717842722,0.0105483947259184
