Sample_ID,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
X637,0.0,0.0,0.0,0.0,94.0285,0.0,0.0,33.2584,0.0,2.6793400000000003,0.0,3.21371,0.0,0.0,0.0,2.24096,0.0
X638,0.0,0.0,0.0,0.0,6.00491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65374,0.0,3.18759,0.0,0.0,0.0,2.22407,0.0
X640,295.92,261.26,196.075,441.57,290.454,235.737,264.806,386.305,401.084,332.043,264.732,302.425,333.353,377.55400000000003,359.985,386.536,306.211
X641,0.0,0.0,0.0,1.39395,5.84415,1.31418,0.0,3.14454,1.0891899999999999,5.09364,1.67175,1.2141,1.3290899999999999,0.892358,1.47699,5.40757,0.92194
X642,1.62834,1.00223,0.0,22.9638,12.9283,11.0661,5.16204,25.0338,17.0925,15.6445,5.1281099999999995,0.0,0.8504440000000001,8.519260000000001,5.9341099999999996,11.4093,5.4326300000000005
X643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992142,0.0,0.8375889999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X644,0.0,0.0,0.0,0.0,17.1543,0.0,0.0,2.69561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2141899999999999,0.504675,1.2052200000000002,0.0,0.0,0.637763,0.0,1.1902700000000002,0.0
X646,0.0,1.45146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7901729999999999,0.0,5.2266900000000005,0.0,0.0,0.0,1.2793700000000001
X647,0.0,0.0,1.22908,0.0,0.0,1.04335,0.0,0.0,2.02602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X649,3.0258599999999998,1.60851,0.7072970000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X650,0.0,0.0,0.0,0.0,0.0,1.10056,0.0,1.22489,0.0,0.6129600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X651,224.887,194.37900000000002,146.977,344.34,208.38,187.5,188.27,281.652,290.938,230.688,194.123,244.58700000000002,269.914,310.69599999999997,257.986,324.219,236.87099999999998
X652,50.6315,78.5728,53.0565,80.1549,86.6893,51.2668,86.5765,98.7987,67.3666,117.197,70.0848,72.1764,40.2134,60.7385,96.1013,61.9647,69.3165
X653,0.0,0.0,0.0,1.00441,4.67764,1.80272,0.0,3.4048,1.0047,4.77431,1.56275,1.8572099999999998,1.23766,1.00048,1.79594,4.59976,1.06869
X654,0.46324499999999996,1.0836,0.0,7.218319999999999,32.9152,2.15967,1.17357,26.1042,5.90158,23.3181,1.59086,0.0,0.5777260000000001,2.3588,7.85721,0.0,1.2937
X655,0.0,0.0,0.0,0.0,0.0,0.0,0.138964,0.0,0.151785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X656,0.0,0.0,0.0,0.0,0.0,0.0,0.47773999999999994,0.0,2.2442599999999997,0.20011800000000002,0.0,0.0,0.578951,0.39924499999999996,0.0,0.0,0.431403
X657,0.0,0.0,0.0,0.0,0.0,0.0,2.43495,0.0,6.05374,0.440453,0.0,0.0,0.595603,0.42700000000000005,0.0,0.0,0.789672
X658,0.0,0.0,0.0,0.0,11.3565,0.0,0.0,1.61351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X659,26.873,43.202,32.213,27.8548,5.79249,14.7333,44.0484,24.1878,13.829,37.288000000000004,32.5288,28.2903,13.2367,23.5398,45.1813,17.923,28.930999999999997
X660,11.9126,15.505999999999998,8.4394,19.0811,15.1284,21.2409,19.1677,11.0464,23.134,30.721,9.421489999999999,25.5738,14.6056,15.6627,11.1849,19.53,15.6851
X661,1.7784799999999998,0.0,1.51281,5.20571,0.0,0.0,0.0,12.661,0.34267,0.493982,0.0,0.427622,4.99798,0.0,3.034,0.0,1.53377
X662,1.76177,0.0,1.48568,4.99746,0.0,0.0,0.0,11.9819,0.34172600000000003,0.49281800000000003,0.0,0.426255,4.9116800000000005,0.0,2.9830900000000002,0.0,1.50445
X663,58.9407,91.3218,57.5477,75.0916,49.093,33.3741,91.9875,62.9858,40.2416,80.378,63.8187,54.6321,36.3841,54.9184,98.1711,38.8345,64.7754
X664,0.873627,13.1147,0.0,2.6398900000000003,6.073180000000001,1.2760799999999999,6.17026,6.47316,0.0,4.4225699999999994,0.0,0.0,2.51588,1.45269,3.1419599999999996,2.75532,1.88811
X665,0.0,0.0,0.0,0.918968,11.398,0.0,0.0,2.3155,0.0,0.47789899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X666,0.0,0.0,0.0,0.0,6.68491,0.0,0.0,0.41889499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X667,0.0,0.0,0.0,0.8899739999999999,2.18106,0.0,0.0,1.66798,0.0,0.47505200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X668,32.9597,26.7939,11.821,4.1989,7.536569999999999,5.128369999999999,10.802999999999999,19.258,13.8158,18.238,5.37624,11.5555,11.2705,13.9829,18.0945,11.3738,10.211
X669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14311,0.0,0.510728,0.0,0.0,0.0,0.0,1.12035,0.336364
X670,0.856117,0.21473000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.118953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X671,4.3079,2.9010000000000002,0.8713549999999999,0.0,0.405648,0.0,0.8992969999999999,0.505146,1.63316,0.427316,0.0,0.6187729999999999,0.744012,0.841561,0.0,0.0,0.805524
X672,0.8567040000000001,1.12606,0.0,0.0,1.27941,0.0,0.0,0.9209200000000001,0.0,0.800724,0.435175,0.0,0.0,0.0,0.0,0.0,0.0
X673,1.06011,1.0417100000000001,1.07132,0.0,0.0,0.0,0.0,0.969668,0.0,0.5173409999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X674,2.5228,2.5326400000000002,1.9525299999999999,4.10112,0.0,4.98337,4.3721,9.92639,3.93525,7.027,2.8894599999999997,5.00329,7.80041,6.20448,6.83131,9.49328,2.658
X675,215.275,159.752,120.33200000000001,260.877,163.98,118.272,180.387,233.93200000000002,297.565,212.551,188.27700000000002,222.69,179.984,246.264,240.888,214.555,199.345
X676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39635,0.0,0.0
X677,0.0,0.0,0.0,0.998851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X678,0.0,0.0,0.0,0.0,4.37202,1.41638,0.0,2.5655099999999997,1.0438100000000001,3.7991,0.0,0.0,0.0,0.627302,1.0514,3.85446,0.965289
X679,0.900819,0.0,0.5688380000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X680,0.48616400000000004,2.12969,1.32302,12.8215,37.3656,11.1499,5.04319,26.5685,6.32598,32.8938,2.74182,2.72217,1.54752,7.2367,10.5806,11.7144,4.09703
X681,0.0,0.0,0.0,0.0,0.0,0.0,0.126162,0.0,0.34539899999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X682,0.435565,0.0,0.0,11.9951,6.95016,5.46502,2.19845,13.7041,9.1834,9.19629,2.68077,0.0,0.0,4.76933,2.68073,5.80274,3.4275
X683,0.0,0.32421500000000003,0.0,0.0,0.613136,0.0,4.665,0.0,9.1461,1.2219,0.0,0.0,0.427592,1.01969,0.512364,0.0,1.7283400000000002
X684,0.0,0.0,0.0,0.0,0.152472,0.0,2.07409,0.0,4.2161,0.743483,0.0,0.0,0.263942,0.472526,0.26921999999999996,0.0,0.738622
X685,1.80472,1.37513,0.0,0.0,0.0,2.16115,0.0,3.4357599999999997,3.5168,1.0431700000000002,2.45122,0.622827,3.19794,0.641041,0.0,1.98433,0.974663
X686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46065,0.0,0.420129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X687,0.0,0.0,0.0,0.0,13.312000000000001,0.0,0.0,0.775183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3813600000000001,0.564823,0.686642,0.0,0.0,0.632668,0.0,1.21807,0.409093
X689,0.0,0.0,0.0,11.4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456272
X690,0.0,0.0,0.0,1.64745,0.370805,0.0,0.0,0.92181,0.0,0.0,0.0,0.0,0.792283,2.7917799999999997,7.736910000000001,0.0,1.27817
X691,23.1143,39.0351,29.3577,23.4627,5.5844,12.6129,41.7963,19.8131,11.2131,33.6958,28.8962,26.5447,9.64933,21.695999999999998,41.4936,16.451,25.1324
X692,0.18932100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X693,3.20666,1.84306,0.9516120000000001,0.0,0.0,0.0,0.7288789999999999,0.0,1.48625,0.379729,0.0,0.48399,0.8491690000000001,0.6037239999999999,0.0,0.0,0.78083
X694,0.920535,1.0529600000000001,0.333885,0.0,1.20681,0.0,0.0,0.72551,0.0,0.554214,0.49686400000000003,0.0,0.0,0.0,0.0,0.0,0.0
X695,0.9867450000000001,0.8928229999999999,1.0718,0.0,0.0,0.0,0.0,1.2065700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X696,1.86399,1.93813,7.3114,3.10596,1.31677,2.90334,3.91491,0.751548,2.22658,3.22778,7.518210000000001,9.96867,0.89935,15.1746,10.9278,4.94329,4.53379
X697,1.311,5.60556,1.05704,5.90004,2.6690400000000003,0.0,6.40776,1.12611,16.6843,0.718595,18.1534,1.87045,18.189,3.29987,1.4803,0.7003,7.8533100000000005
X698,0.993585,1.6167200000000002,0.514722,10.9204,1.27706,0.964045,4.13154,4.86881,6.00247,2.78372,1.7565,0.9435629999999999,3.75086,1.9474799999999999,0.950942,2.5756099999999997,3.03199
X699,1.12495,2.15346,0.679146,1.88294,5.98019,5.61793,9.08158,21.7193,33.522,3.1550599999999998,11.5527,11.5472,16.1846,11.9778,1.84486,1.16715,5.50439
X700,167.445,86.568,81.4644,157.52200000000002,74.0989,80.0295,93.4788,124.51100000000001,149.923,116.88799999999999,111.16799999999999,160.30700000000002,107.971,174.265,167.55700000000002,164.824,115.87100000000001
X701,133.961,129.575,102.204,164.595,129.433,94.3004,145.049,160.422,140.05,186.696,128.662,131.12,93.8904,177.463,193.12900000000002,157.34,127.74600000000001
X702,0.0,0.0,0.0,0.0,17.3146,0.0,0.0,2.5143299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X703,0.0,0.0,0.0,1.94575,0.0,0.0,0.0,0.9795200000000001,0.0,0.0,0.0,0.0,0.0,2.97847,9.940710000000001,0.0,1.24051
X704,27.2244,46.07899999999999,33.6929,28.9861,6.6726,15.7844,48.0459,23.2902,13.1295,40.0052,34.2049,28.4023,12.4301,24.6765,50.0278,19.9476,28.3013
X705,86.6798,47.0467,46.8374,57.5059,29.2181,29.8798,50.034,51.7155,42.8358,63.6735,43.3426,71.8037,54.0742,102.19200000000001,81.4351,77.2519,48.3846
X706,66.0176,119.945,80.3578,152.80700000000002,85.8673,81.3476,133.934,126.29899999999999,75.8122,159.327,112.645,133.814,55.742,118.288,165.937,89.4905,90.4379
X707,0.0,0.0,0.0,11.3086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710569
X708,0.0,0.0,0.0,0.0,1.33822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.18,0.0,0.0
X709,0.0,0.0,0.0,3.3728800000000003,0.74352,0.0,0.0,1.16205,0.244569,0.342697,0.572347,0.45002200000000003,0.546404,3.6084199999999997,14.9672,0.0,1.8651
X710,44.6984,81.439,54.9893,49.3137,11.1069,27.0561,88.5903,42.1913,21.3186,69.8778,53.2355,52.4086,20.7247,41.4,86.4565,33.7836,49.9068
X711,15.4521,32.646,11.6486,32.538000000000004,33.6188,14.3495,19.2869,35.4864,19.828,31.0421,8.2919,25.6915,12.493,25.7983,20.8446,18.4426,9.16517
X712,263.478,244.708,163.031,458.43300000000005,288.06,222.454,259.375,405.17,418.094,339.483,289.378,330.708,331.48,366.38300000000004,353.57099999999997,346.593,323.353
X713,0.0,0.0,0.0,1.05275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X714,0.0,0.0,0.0,1.3289600000000001,5.76305,4.04269,0.0,3.53916,1.40412,5.43458,3.6689199999999995,3.7202300000000004,0.875976,1.73112,1.48024,4.43035,1.70006
X715,0.870233,1.73406,0.944084,13.7163,38.0227,8.3109,3.52149,28.2139,5.4375599999999995,36.5053,2.7465599999999997,3.3324,1.19216,5.5776,10.7093,9.13948,3.72165
X716,0.0953698,0.0,0.0,0.0,0.0,0.0,0.20659699999999998,0.0,0.200962,0.0,0.0,0.11803399999999999,0.0,0.0,0.0,0.0,0.113295
X717,1.1644700000000001,0.558759,0.0,15.1854,7.073460000000001,6.26502,3.26958,14.7079,10.3551,9.6183,3.12194,0.0,1.0242,5.8363,3.08351,6.7072,2.8397
X718,0.0,0.313056,0.0,0.0,0.48571099999999995,0.0,2.99251,0.0,6.69792,1.15904,0.0,0.0,0.329455,0.558791,0.348136,0.0,1.4284
