Taxon	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae	5.005628253	6.720880434	5.980759741	7.824904428	9.026559734	8.604535647	7.276113341	7.869244682	7.307638606	8.586403895	6.215166664	6.292425635	6.492832568	6.952528198	6.579863593	7.875932906	7.091526053
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus	4.770817903	6.451910042	5.64693099	7.743911861	9.560365147	8.230917573	7.030790151	8.343140857	7.24064948	8.776505944	6.117094793	6.053643878	5.976796212	6.611643633	6.814265074	7.475025829	6.77701158
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii	4.548801551	5.679466733	4.561163023	6.24670479	7.188829379	6.607994703	6.305651227	6.643971002	7.411350707	6.306882955	5.987430798	5.338586813	6.408821283	5.797140948	5.213531791	6.284942781	6.334027402
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis	4.445519096	6.795209492	4.647592827	6.465420096	7.881755569	6.06768014	9.324953947	6.694154727	10.45989674	7.947922696	6.729772185	5.226002382	7.573156693	7.129307259	6.370071731	5.968361082	8.392872903
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides helcogenes	4.40027623	5.565810037	4.459278789	5.778637527	6.353314616	5.32987594	6.226538427	5.832447786	7.423188294	5.726938881	5.784824934	5.03667024	6.20717605	5.184654657	4.575920884	5.360323839	6.273627383
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides heparinolyticus	4.368553641	5.603318161	4.524484935	5.893226541	6.456198877	5.522581821	5.970677712	5.975237991	7.091321594	5.703236311	5.834820734	5.137217593	6.242396617	5.279650641	4.554859836	5.56058143	6.126627392
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides zoogleoformans	4.35721557	5.47178161	4.551834282	6.058121016	6.525634956	5.533812375	5.82651385	6.030879009	6.923508524	5.641734829	5.599782389	5.09462371	6.01632207	5.281388335	4.474731259	5.727413279	5.961723492
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides cellulosilyticus	4.222741317	5.257107227	4.187908416	5.630459107	6.306682381	5.622521624	5.712236977	5.932555897	6.852800298	5.646174506	5.43927873	4.880080531	5.840383792	5.096101556	4.614489701	5.356354873	5.807028597
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides intestinalis	4.203116632	5.139327652	4.190441826	6.202022686	6.710300627	5.863157263	5.729596589	6.255763553	6.839480792	6.02918007	5.339703333	4.691703811	5.515020912	5.217927656	4.782639299	5.571578834	5.783510352
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides coprosuis	2.574018594	3.619859785	2.765106864	4.340812961	4.646355695	3.992873578	3.658235801	4.237400414	4.397720072	3.844719101	3.692936082	3.284033715	3.768519417	3.358656538	2.880558901	3.732676881	3.871863515
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes shahii	6.855869367	7.332197812	6.501510352	7.908965092	9.875666606	9.068728367	7.989625566	8.473148366	8.015443687	9.043001145	8.923486724	9.194976196	7.941041179	7.439806316	6.785270258	8.438012813	7.982397211
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes communis	6.818904668	7.360509672	6.567802006	7.781575981	8.76679969	8.548490205	8.056278946	7.966718418	7.929869759	8.406179705	8.468899995	9.03295266	7.909745898	7.184094753	5.650957576	7.381781843	7.750729471
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes dispar	6.774760044	7.205601111	6.391451615	7.597120113	9.13413264	8.892407751	7.847880218	7.887653036	7.613589	8.732911186	8.76085286	9.141315023	7.535028432	7.286175379	5.704117636	7.475269848	7.739667053
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes finegoldii	6.68555763	7.163401899	6.267807087	7.466157761	8.877045464	8.632648835	7.778617349	7.708273624	7.70975301	8.336883183	8.611677241	9.005164537	7.740044149	7.093282097	5.684859325	7.402395434	7.654783073
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes megaguti	6.624730883	7.123499724	6.323110542	7.670361067	8.925050106	8.517862981	7.745477063	7.968193454	7.672607368	8.520802086	8.520729556	8.891571202	7.622039476	7.125019341	5.73130768	7.413834594	7.63381757
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes onderdonkii	6.610476392	7.099703401	6.239033617	7.489271908	8.874770224	8.692616698	7.730431669	7.781246324	7.704198964	8.364850215	8.506661041	8.919571647	7.666330683	7.098835943	5.8624886	7.459198785	7.655842075
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes indistinctus	4.84022046	5.648470627	4.854635373	7.884764345	6.562468853	6.082232298	5.692138224	6.923335356	6.312136427	5.84532243	6.221012799	6.210230801	6.325138333	5.235961911	4.588141107	5.587919336	6.139332325
