,clade_name,Start,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ,DSS,Control,DSS,DSS,DSS,Control,Control,Control
21,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.01797,0.04548,0.01456,0.02656,0.0,0.0,0.0066599999999999,0.03546,0.0289399999999999,0.0717,0.003,0.06506,0.05474,0.07902,0.0,0.00361,0.0
22,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae,27.566540000000003,1.69117,2.24586,7.0643199999999995,28.34978,11.00682,25.254,1.14394,23.77843,1.7487400000000002,19.29102,0.5209600000000001,4.95805,8.94074,20.64486,23.40174,32.21691
23,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified,14.67951,0.0,0.0,0.0,4.84397,7.008789999999999,5.03711,0.0,9.21052,0.0,11.1191,0.0,0.0,0.0,17.57411,14.92576,28.4201
24,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified|s__Muribaculaceae_bacterium_DSM_103720,14.67951,0.0,0.0,0.0,4.84397,7.008789999999999,5.03711,0.0,9.21052,0.0,11.1191,0.0,0.0,0.0,17.57411,14.92576,28.4201
25,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum,12.88702,1.69117,2.24586,7.0643199999999995,23.50581,3.99803,20.2169,1.14394,14.56791,1.7487400000000002,8.17193,0.5209600000000001,4.95805,8.94074,3.07076,8.47599,3.79681
26,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_intestinale,12.88702,1.69117,2.24586,7.0643199999999995,23.50581,3.99803,20.2169,1.14394,14.56791,1.7487400000000002,8.17193,0.5209600000000001,4.95805,8.94074,3.07076,8.47599,3.79681
27,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,15.02817,13.85498,4.25575,25.29169,23.81171,28.82909,19.27504,4.3506599999999995,38.484559999999995,23.701,14.38648,14.64171,15.39006,7.811039999999999,3.09269,4.63816,7.002330000000001
28,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,15.02817,13.85498,4.25575,25.29169,23.81171,28.82909,19.27504,4.3506599999999995,38.484559999999995,23.701,14.38648,14.64171,15.39006,7.811039999999999,3.09269,4.63816,7.002330000000001
29,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM1,7.15955,10.24922,2.3915599999999997,4.82071,5.75864,11.77962,6.992380000000001,0.32268,10.58332,0.0,3.96652,0.0,3.08756,5.20606,1.53889,2.17541,5.42288
30,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_MGM2,7.86862,3.60576,1.86418,20.470979999999997,18.05307,17.04947,12.28265,4.02798,27.90124,23.701,10.41996,14.64171,12.3025,2.60498,1.5538,2.46274,1.57946
31,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0.05287,0.89066,0.15089,0.04498,0.05277,0.07465,0.0347,0.35201,0.02659,0.51852,0.00435,0.18844,0.8002600000000001,1.29038,0.0,0.0,0.0
32,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,0.05287,0.89066,0.15089,0.04498,0.05277,0.07465,0.0347,0.35201,0.02659,0.51852,0.00435,0.18844,0.8002600000000001,1.29038,0.0,0.0,0.0
33,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620099999999999,0.0,0.0,0.0,1.18542,0.0,0.0,0.0
