Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxonomy	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVII. Incertae Sedis|g__Thermaerobacter|s__Thermaerobacter sp. PB12/4term	117	115	243	78	42	74	64	117	214	113	217
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVII. Incertae Sedis|g__Thermaerobacter|s__Thermaerobacter marianensis	102	133	203	90	127	157	129	161	279	250	320
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XVI. Incertae Sedis|g__Carboxydocella|s__Carboxydocella thermautotrophica	146	237	293	128	98	125	142	167	268	188	268
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides difficile	5560	11334	15047	3889	4943	4520	5044	7198	10982	9828	11379
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia ilealis	4258	495	2925	9373	3590	5257	5657	2801	7266	4181	8328
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia sp. CE17	394	686	577	586	212	224	425	395	398	308	395
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia hominis	301	568	329	593	250	190	321	334	380	342	331
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptoclostridium|s__Peptoclostridium acidaminophilum	523	676	1333	200	229	396	386	484	778	729	823
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Acetoanaerobium|s__Acetoanaerobium sticklandii	290	467	865	430	195	86	173	254	276	256	344
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptacetobacter|s__Peptacetobacter hiranonis	501	1110	686	707	271	236	506	688	770	545	932
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium sordellii	575	872	524	858	319	185	330	402	440	403	436
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Filifactor|s__Filifactor alocis	184	413	513	324	137	165	266	306	483	259	323
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Paraclostridium|s__Paraclostridium bifermentans	362	629	378	549	199	152	274	283	391	285	387
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__[Eubacterium] cellulosolvens	1244	2107	3931	1106	607	875	908	1802	3318	2045	2973
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp. NSJ-61	1211	2222	3845	501	367	560	615	1019	3078	883	1211
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium limosum	752	1394	2132	519	461	520	468	1121	1613	1049	1412
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium maltosivorans	244	401	977	222	93	220	207	352	700	438	629
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium callanderi	296	515	899	122	141	280	300	448	711	385	498
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Acetobacterium|s__Acetobacterium sp. KB-1	251	501	1048	242	189	161	172	284	572	363	472
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Acetobacterium|s__Acetobacterium woodii	266	509	805	248	124	232	201	286	372	213	313
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Alkalibacter|s__Alkalibacter sp. ES005	183	280	581	191	150	131	155	291	382	288	433
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfitobacterium|s__Desulfitobacterium hafniense	402	710	965	255	225	273	270	380	662	449	662
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfitobacterium|s__Desulfitobacterium dehalogenans	175	224	517	125	76	180	219	303	499	274	461
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfitobacterium|s__Desulfitobacterium dichloroeliminans	216	303	378	131	173	156	144	220	385	250	310
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfitobacterium|s__Desulfitobacterium metallireducens	123	161	366	162	100	55	62	134	192	124	230
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus orientis	241	301	584	80	71	148	164	148	331	199	271
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus youngiae	140	219	454	211	123	100	97	176	339	215	325
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus meridiei	133	199	365	131	78	72	103	134	174	168	283
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfosporosinus|s__Desulfosporosinus acidiphilus	118	234	355	197	148	122	124	257	431	290	315
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Dehalobacter|s__Dehalobacter restrictus	128	308	551	62	62	56	72	311	419	378	513
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfotomaculum|s__Desulfotomaculum ruminis	197	370	475	228	165	137	217	286	545	314	498
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfotomaculum|s__Desulfotomaculum reducens	131	200	258	126	97	114	256	174	274	188	248
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfotomaculum|s__Desulfotomaculum ferrireducens	101	139	255	85	60	75	111	180	158	174	194
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfotomaculum|s__Desulfotomaculum nigrificans	89	147	200	89	81	93	127	201	315	224	255
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Dehalobacterium|s__Dehalobacterium formicoaceticum	266	576	864	159	152	213	234	415	589	357	545
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfallas|s__Desulfallas gibsoniae	257	680	862	130	165	180	297	369	558	397	585
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Syntrophobotulus|s__Syntrophobotulus glycolicus	319	429	819	524	308	244	264	523	771	436	662
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Thermoanaerosceptrum|s__Thermoanaerosceptrum fracticalcis	242	282	408	174	139	221	245	445	411	250	345
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfofarcimen|s__Desulfofarcimen acetoxidans	218	507	369	228	141	113	135	205	358	305	349
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Thermincola|s__Thermincola potens	128	155	233	191	86	74	68	159	231	151	213
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Candidatus Desulforudis|s__Candidatus Desulforudis audaxviator	97	148	212	117	67	107	116	202	212	164	260
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella sp. Marseille-P3954	1072	1455	2712	733	585	884	847	1639	2705	1759	2522
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella minuta	569	744	1910	617	537	495	458	932	1576	994	1390
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Vallitaleaceae|g__Petrocella|s__Petrocella atlantisensis	323	740	854	310	162	186	222	342	659	369	618
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Heliobacteriaceae|g__Heliobacterium|s__Heliobacterium modesticaldum	193	206	411	119	140	155	174	283	468	374	519
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Heliobacteriaceae|g__Heliorestis|s__Heliorestis convoluta	61	102	181	61	67	120	99	119	172	104	158
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Symbiobacteriaceae|g__Symbiobacterium|s__Symbiobacterium thermophilum	289	282	567	201	261	245	246	407	679	341	529
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae|g__Syntrophomonas|s__Syntrophomonas wolfei	112	138	192	63	42	58	80	151	173	126	180
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae|g__Candidatus Syntrophocurvum|s__Candidatus Syntrophocurvum alkaliphilum	124	294	133	144	84	43	80	141	148	137	209
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Syntrophomonadaceae|g__Syntrophothermus|s__Syntrophothermus lipocalidus	112	80	131	39	26	108	94	135	158	91	84
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor sp. YA01	109	125	382	129	54	42	51	71	104	93	95
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor kronotskyensis	136	322	213	74	27	103	168	148	97	157	152
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor changbaiensis	274	333	187	230	253	59	88	186	79	296	275
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor obsidiansis	89	93	113	99	60	29	67	75	85	86	133
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor owensensis	80	337	108	26	31	28	54	59	65	51	126
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor hydrothermalis	113	152	103	97	87	24	91	51	96	150	115
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor|s__Caldicellulosiruptor saccharolyticus	63	145	92	54	36	43	67	144	170	102	81
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Thermoanaerobacterium|s__Thermoanaerobacterium sp. RBIITD	285	656	569	314	168	151	245	340	326	285	421
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Thermoanaerobacterium|s__Thermoanaerobacterium thermosaccharolyticum	243	492	551	292	175	123	197	321	366	286	398
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Thermoanaerobacterium|s__Thermoanaerobacterium aotearoense	140	224	454	144	162	42	89	130	156	175	272
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Thermoanaerobacterium|s__Thermoanaerobacterium xylanolyticum	127	192	262	164	74	54	67	125	271	228	273
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter|s__Thermoanaerobacter kivui	96	162	222	106	67	99	119	175	231	121	178
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Moorella|s__Moorella thermoacetica	164	161	374	110	104	161	207	225	351	243	361
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Moorella|s__Moorella glycerini	181	184	306	107	43	151	141	193	193	168	184
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Ammonifex|s__Ammonifex degensii	98	83	169	98	41	75	81	112	178	149	215
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermacetogenium|s__Thermacetogenium phaeum	165	151	306	67	68	104	86	126	263	171	252
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Caldanaerobacter|s__Caldanaerobacter subterraneus	153	171	250	126	127	106	110	161	227	233	324
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Carboxydothermus|s__Carboxydothermus hydrogenoformans	107	154	186	91	96	81	121	152	229	177	206
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family IV. Incertae Sedis|g__Mahella|s__Mahella australiensis	285	274	495	428	251	109	168	295	409	327	400
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|s__Halanaerobium praevalens	155	147	331	218	90	73	121	137	141	108	113
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|s__Halanaerobium hydrogeniformans	152	308	184	214	78	63	111	151	203	159	170
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halocella|s__Halocella sp. SP3-1	215	589	351	154	89	107	171	249	201	227	270
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halothermothrix|s__Halothermothrix orenii	152	211	172	180	93	59	86	104	211	158	171
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Acetohalobium|s__Acetohalobium arabaticum	100	188	206	107	68	92	123	124	122	115	129
d__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halobacteroidaceae|g__Halobacteroides|s__Halobacteroides halobius	95	197	164	187	80	34	74	94	151	133	114
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae|g__Biomaibacter|s__Biomaibacter acetigenes	206	315	607	282	210	209	163	298	423	279	437
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Tepidanaerobacteraceae|g__Tepidanaerobacter|s__Tepidanaerobacter acetatoxydans	151	210	296	104	109	133	136	189	212	164	221
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales|f__Thermosediminibacteraceae|g__Thermosediminibacter|s__Thermosediminibacter oceani	85	116	202	119	89	89	118	200	205	171	233
d__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales|f__Koleobacteraceae|g__Koleobacter|s__Koleobacter methoxysyntrophicus	139	226	262	129	191	106	170	271	384	216	431
d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae|g__Natranaerobius|s__Natranaerobius thermophilus	67	159	110	125	94	54	117	160	172	139	192
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus johnsonii	63585	25894	91257	198	7287	11728	7903	18858	10147	1378	21496
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus acidophilus	1930	996	3370	60	30	53	115	267	87	63	153
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus crispatus	1564	831	2840	87	51	81	195	255	138	64	155
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus amylolyticus	1624	759	2499	34	27	57	95	180	93	48	53
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus helveticus	1220	636	2306	96	30	77	159	186	200	98	189
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus amylovorus	1275	636	2275	66	31	44	87	220	300	151	92
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus taiwanensis	1041	549	1650	53	33	36	58	134	135	41	216
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus ultunensis	979	513	1578	49	9	30	74	123	21	96	31
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus acetotolerans	895	448	1449	43	36	123	113	160	138	82	67
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus jensenii	844	600	1409	183	55	47	108	177	151	95	140
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus kefiranofaciens	733	394	1263	94	54	103	65	103	188	82	133
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus gasseri	509	427	1175	69	26	64	119	160	153	68	146
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus apis	453	240	652	91	78	15	46	81	18	82	84
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus delbrueckii	398	271	598	179	100	136	155	224	206	168	279
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus iners	308	687	544	225	89	107	152	223	241	216	274
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus paragasseri	176	119	378	11	30	20	41	41	35	40	84
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus kullabergensis	196	187	360	67	27	15	38	70	24	17	16
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus terrae	103	124	140	115	23	36	63	90	56	79	63
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus reuteri	32514	26921	43743	497	9180	3678	2672	7117	5190	3177	13419
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus fermentum	262	226	489	68	172	52	63	181	201	180	207
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus mucosae	99	90	240	19	71	80	88	111	69	96	143
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus murinus	34565	10640	30321	5111	40134	2034	11224	4202	1455	1179	2635
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus animalis	1081	363	1016	203	1257	97	398	172	123	108	108
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus salivarius	490	638	732	350	435	142	194	279	246	404	358
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus ruminis	216	340	452	106	112	243	238	452	691	397	580
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus acidipiscis	62	176	91	120	10	39	39	57	89	53	99
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella cibaria	217	214	191	150	210	42	52	100	61	146	171
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella sp. HDW19	42	156	150	31	29	27	49	39	60	102	112
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella koreensis	62	95	73	79	43	24	50	104	131	126	121
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus farciminis	94	277	163	11	9	38	99	73	51	56	26
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus paralimentarius	63	91	98	78	41	36	60	45	105	79	101
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus ginsenosidimutans	46	81	96	93	71	24	65	64	68	115	99
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc mesenteroides	107	216	192	100	71	55	84	126	188	93	73
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc gelidum	64	114	119	145	36	27	54	51	49	48	86
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc citreum	63	105	52	47	49	49	81	134	50	146	119
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus acidilactici	202	201	251	110	180	32	61	101	99	192	201
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus pentosaceus	100	114	173	99	59	53	100	120	154	88	100
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus damnosus	26	51	136	170	134	33	39	81	157	101	122
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus rhamnosus	79	103	193	103	65	68	78	137	266	159	176
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus paracasei	52	81	115	40	46	12	44	62	65	63	125
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus casei	53	69	104	47	60	50	52	96	80	55	139
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus brevis	287	382	359	240	283	154	181	271	269	417	347
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus suantsaii	62	88	129	56	21	53	71	138	127	84	100
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus mali	103	114	160	164	85	61	95	132	166	154	192
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus hordei	107	104	135	141	80	21	37	89	133	117	90
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus nagelii	70	198	103	80	40	18	33	56	94	54	54
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus plantarum	120	178	193	148	53	95	101	75	77	89	117
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus pentosus	105	121	178	183	88	80	105	127	249	210	242
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus coryniformis	82	97	204	56	42	56	65	112	152	135	148
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus backii	77	60	152	50	19	137	128	72	117	63	69
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Loigolactobacillus|s__Loigolactobacillus bifermentans	57	56	96	48	39	45	57	78	77	67	57
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus hilgardii	71	117	143	78	63	39	65	79	141	87	169
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus sakei	60	89	126	84	30	39	44	57	71	60	68
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus curvatus	92	132	118	50	57	44	67	99	93	64	90
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus graminis	32	62	53	47	28	61	67	109	135	70	78
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus hokkaidonensis	51	111	167	36	62	53	58	83	186	108	180
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Paucilactobacillus|s__Paucilactobacillus oligofermentans	99	152	90	231	50	27	56	69	66	45	53
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus kitaharae	82	104	133	55	50	26	42	64	29	64	87
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus|s__Oenococcus sicerae	49	114	91	48	18	22	27	35	93	78	90
