Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum	3.441837559	2.58818455	2.642132444	3.805869606	3.880284446	4.076669842	3.431372698	3.032110665	3.000210413	3.650677958	3.152798763
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium	4.270528942	3.717858983	3.641049068	4.894308729	4.96959059	4.524499918	3.992072387	3.991092403	4.290017425	4.377390379	4.21749247
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea	4.028274454	3.244635051	3.03980393	4.545157703	4.611669442	4.338744715	3.758551298	3.369157019	3.691918592	4.037480191	3.882003487
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae|g__Labilibaculum	2.99699125	2.927497476	2.175456226	4.121808273	3.993971098	2.952331926	2.875033416	2.860927881	3.354394549	3.424968475	3.290627582
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium	6.918863237	7.026101895	6.519783	7.561892601	7.54279339	6.828602142	6.792039026	6.598705246	6.801286929	6.982740265	6.764168199
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Polaribacter	5.2773649	6.012328486	5.225718068	5.196863165	5.001422207	4.550734937	5.153020123	4.726384141	4.50212041	4.857744923	4.610016463
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga	5.720187245	5.283955268	5.168822814	6.212924975	6.424540334	6.105540998	5.731502495	5.33651611	5.371473048	5.748496179	5.597769328
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Nonlabens	4.76110794	4.520722194	4.014350603	4.854900787	5.108936281	4.125487906	3.962562099	3.782584579	3.545487661	4.578602126	4.108952928
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella	4.505679251	4.12394887	3.865858942	4.903116918	4.888344765	4.480823513	4.190585696	3.853773184	4.157506164	4.325223493	4.251656057
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Tenacibaculum	3.884272293	4.409592593	3.704012549	3.924824506	3.907012827	3.946044947	4.24762693	3.456452997	3.200826416	3.576109097	3.208162687
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Maribacter	4.161887682	4.177493074	3.690394432	4.516744009	4.62163448	3.409532805	3.586822374	3.676041059	3.558684759	4.225069065	3.818935313
