Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae,0.0015998848082938028,0.001434465259243734,0.00164859462742939,0.003970630043692813,0.0021024106177384466,0.0013585064580000747,0.001792403447273658,0.0023315458148752623,0.001072452708388867,0.0014893918985204675,0.0011108018938378859,0.0012501847551261104,0.0012918211875736552,0.003244983255886399,0.002156679850189175,0.003080142550836144,0.0017640861462068066
d__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae,0.0016978369394138318,0.0007836430582905585,0.0033877713772450103,0.0024882614940474963,0.0010355156773935632,0.00251723255452955,0.0018502229133147436,0.0017402117313924058,0.0011499794102001106,0.002006370904618481,0.0014876811078185974,0.0016131416195175618,0.0015843090036280678,0.0042080105447301055,0.001985125771196854,0.0034709069043004307,0.0016170789673562393
d__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae,0.009664610270509504,0.007889558925840538,0.009529239275031418,0.012203069667615911,0.008927400309650566,0.007431829446706291,0.00869219306150989,0.010981918693253047,0.006344268431553419,0.008050101666383353,0.007200376561842011,0.011150841444915146,0.00797029298748274,0.01440353858096673,0.01039127564182057,0.01629717215330467,0.008983772040867996
d__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales|f__Mariprofundaceae,0.004391520545214622,0.0026829813182151323,0.0027355800960641528,0.004791226919389328,0.0028555129285701285,0.0024972545183824905,0.0028717001467072584,0.005169949415592973,0.0036825183360340626,0.003224964276135228,0.0026976617421777234,0.003932032697574057,0.004777300995555404,0.0062596773774840865,0.00446040605380034,0.004987992041279427,0.004067198614865692
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae,0.9961568481355056,0.45669123586885696,0.693895290327478,1.1134176059853806,0.18518472030721556,0.21702140666551195,0.3086981291933568,0.13124237601413796,0.09026692314222441,0.6478854758564034,0.43295487387142034,0.3147844227786082,0.11175471971745676,0.7195069970213147,0.758293536871628,0.8636811657098304,0.31965894334506667
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae,0.1348800845522796,0.060592875117314024,0.1062347131345708,0.1283307630121517,0.06757524276566783,0.07917295725079847,0.08245055857458827,0.10341588357138753,0.07222904385414178,0.08574466086854196,0.09396193876982262,0.12296171994772614,0.10887858952625504,0.17388923176382215,0.19493444918641703,0.16407505617812235,0.09148746763800299
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae,0.026561352888714463,0.011196798273541368,0.043189555953754566,0.015008981565158832,0.006338611116166659,0.011047853989324136,0.029969756564629444,0.011032604471837291,0.010323972457863914,0.014672356554019814,0.03860036581086654,0.017502586571765545,0.013990667201269397,0.020956311220272812,0.024360679216909546,0.027008712665913946,0.0295974453419142
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae,0.020439344693712665,0.013640702048549211,0.02719275314034631,0.015803107573897395,0.011061190190340334,0.010588359157941759,0.020815007774790867,0.011438090700511251,0.010504868095423482,0.012505968337990041,0.01888363219524406,0.019922299001041886,0.016038081913650287,0.02399194071771493,0.02293923113383032,0.019860023611361403,0.01757552493813448
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Planctomycetaceae,0.041743933212318916,0.024186678121137402,0.031377647194590144,0.046244604575542296,0.027441165450929422,0.025751688593560237,0.03037449282691704,0.035868635978117264,0.026695027657004818,0.029393949203858485,0.033879457762055525,0.04244578886355584,0.04721240830811642,0.0527362117521151,0.05256907134836115,0.051971659010750154,0.034840701387584425
d__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae,0.019851631906992493,0.010997566987535295,0.01529026225879566,0.0177354808618279,0.010668949403448832,0.01018879843500056,0.014319954422842236,0.015121257277633042,0.01886483077406923,0.012616749553582475,0.017534801324155202,0.022180697268366474,0.023740261069749812,0.020391056072473247,0.023257831566244627,0.019791065196044177,0.022786112721837917
