Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Synergistetes	0.035595658	0.014965773	0.023050988	0.019311245	0.010904663	0.013847701	0.018961844	0.018947004	0.016818627	0.023502467	0.019071531	0.026199508	0.022591478	0.04877603	0.055180555	0.03545091	0.020217641
d__Bacteria|p__Deferribacteres	0.01994853	0.011047695	0.037743593	0.019801378	0.009644701	0.016743826	0.020512764	0.013330114	0.012555272	0.014846766	0.028985699	0.039299263	0.014523093	0.059827765	0.054122487	0.027510936	0.019257109
d__Bacteria|p__Aquificae	0.013543181	0.007245233	0.021497969	0.015218634	0.006119811	0.010759778	0.010671807	0.010833718	0.006598932	0.010967032	0.011900786	0.016068266	0.008460278	0.024583275	0.028107811	0.018347777	0.010565848
d__Bacteria|p__Candidatus Saccharibacteria	0.007948242	0.016468774	0.009370462	0.029898121	0.019019411	0.050078042	0.023356117	0.054456635	0.021465067	0.038962443	0.012714354	0.038111858	0.010258375	0.046100964	0.007360474	0.057039055	0.021844348
d__Bacteria|p__Thermodesulfobacteria	0.009413212	0.003494155	0.009126167	0.007499037	0.002624919	0.004871629	0.00703453	0.004448705	0.003855556	0.005106156	0.006338257	0.005822113	0.006708286	0.010270693	0.010051648	0.009549428	0.005097014
d__Bacteria|p__Nitrospirae	0.009366458	0.005292617	0.008410731	0.012743461	0.007154779	0.006674515	0.007736137	0.006977106	0.005004808	0.007417487	0.008589757	0.011682529	0.009174906	0.015679404	0.015848021	0.014785519	0.008505352
d__Bacteria|p__Elusimicrobia	0.004878039	0.00193977	0.003350333	0.005342451	0.0032249	0.003298898	0.002621793	0.004832766	0.00242208	0.003926905	0.004332719	0.004921984	0.002443568	0.008103304	0.007866507	0.006909923	0.003578755
d__Bacteria|p__Dictyoglomi	0.00367801	0.00227377	0.007904691	0.004386692	0.001379957	0.00212894	0.006111363	0.00328052	0.002076069	0.002216991	0.004086757	0.004155916	0.003480932	0.002850801	0.003013194	0.003369124	0.002928072
d__Bacteria|p__Chrysiogenetes	0.002945525	0.001464462	0.002652347	0.003063332	0.002174933	0.001841246	0.001901723	0.002656421	0.001581767	0.002063689	0.001721735	0.00283445	0.002166938	0.004432409	0.003473224	0.004377715	0.002184435
d__Bacteria|p__Calditrichaeota	0.002789677	0.001862693	0.003629527	0.005685544	0.003314897	0.00375921	0.003286473	0.002672424	0.001964851	0.002936334	0.003046147	0.003926096	0.003158196	0.006931742	0.00575037	0.005064416	0.002587238
