Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides fragilis	0.34664311	0.429169777	0.369405207	1.545037404	0.808897266	0.688733318	0.751725321	1.052320776	0.869075704	0.79294713	0.541533287	0.568666333	0.726213905	0.9675368	0.504110204	1.260344397	0.73804751
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens	0.148688118	0.249043947	0.220235208	1.340727989	1.806337192	0.941928123	0.557822252	1.624716229	0.458247169	1.915065952	0.310006048	0.351577292	0.346442321	0.785599339	0.818950295	1.216040704	0.516219874
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron	0.132626598	0.201137642	0.177911352	0.706815288	0.842884388	0.553118297	0.377409127	0.74745798	0.370324079	0.816956036	0.227150914	0.249536771	0.290830781	0.544462737	0.421507062	0.806974844	0.360639501
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae	0.104161774	0.17557301	0.167589514	0.76153602	0.676138021	0.68477326	0.363705057	0.58355601	0.253713795	0.83180556	0.161284771	0.220292863	0.218899827	0.555577462	0.37800014	0.915187718	0.329709979
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus	0.088013668	0.145424267	0.132413207	0.719777306	0.979455625	0.528135987	0.306462016	0.811449448	0.242129221	0.949266306	0.150540648	0.186255267	0.152335449	0.437708451	0.445390862	0.692197369	0.264649867
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii	0.074982623	0.084438383	0.060959309	0.252794366	0.188221849	0.170282501	0.184457729	0.248162036	0.272744407	0.169601008	0.137411674	0.112350565	0.206377815	0.246932137	0.144172938	0.3011768	0.194035584
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis	0.06957106	0.184944622	0.064889381	0.294728243	0.30507263	0.116538855	1.512324979	0.257034892	2.26834925	0.533566745	0.231355136	0.103702654	0.465605424	0.628590618	0.326301915	0.241065078	0.816166283
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides helcogenes	0.06731985	0.077914239	0.056618954	0.181818564	0.10490528	0.069176559	0.17448897	0.140319414	0.275004812	0.112743156	0.119119621	0.0905983	0.179136948	0.159946184	0.091244517	0.156814467	0.185979917
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides heparinolyticus	0.065782966	0.080010727	0.059361368	0.197127757	0.11275572	0.079314308	0.145748491	0.155178776	0.218162284	0.110870635	0.123397601	0.097343189	0.183624787	0.171140299	0.089864297	0.180747293	0.167727471
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides zoogleoformans	0.065241809	0.072892056	0.060549027	0.221405265	0.118379352	0.079947917	0.131663753	0.161379086	0.194029141	0.106153044	0.104515482	0.094428433	0.156634987	0.171352008	0.084793491	0.203384861	0.14934783
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides cellulosilyticus	0.059137566	0.062581718	0.046448273	0.163741805	0.101527326	0.085129936	0.121457076	0.150581995	0.184671731	0.106486905	0.093279637	0.080986835	0.138369797	0.15015464	0.093824928	0.156372902	0.133914868
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides intestinalis	0.058293362	0.05754389	0.046534648	0.244982123	0.134721855	0.100902282	0.122955958	0.189023913	0.182959807	0.139524554	0.086911839	0.070724969	0.109936357	0.16378341	0.105916851	0.182160301	0.131710159
