Treatment_Group	Control	Control	Control	DSS	DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS
Taxa	Control_328	Control_330	Control_327	DSS_334	DSS_339	RCE_322	RCE_318	RCE_319	RCE_plus_DSS_305	RCE_plus_DSS_313	RCE_plus_DSS_301
d__Eukaryota|k__Metazoa	17.73713259	17.27800621	16.40633527	13.1411889	17.82911824	15.62637277	16.02586337	16.05446683	14.60236943	14.62451898	15.42328839
d__Archaea|p__Euryarchaeota	9.724511292	9.987705848	10.04930385	9.820790912	9.600883277	9.868764328	9.824822553	9.610944335	10.05741115	9.731004158	9.632801943
d__Archaea|p__Crenarchaeota	7.053887151	7.884477149	7.461401178	6.665734781	6.516833533	6.77899251	7.43703302	6.658011159	6.708447544	6.931446356	6.616238853
d__Archaea|p__Thaumarchaeota	6.308370473	7.118150826	6.584138763	5.940969816	5.915048299	6.004177934	6.602933352	5.931201588	6.247657897	6.138652037	6.017086163
d__Archaea|p__Candidatus Thermoplasmatota	5.651454822	5.480866522	5.265423943	5.754944978	5.996700497	5.182791991	4.97287056	4.980516512	5.215965575	5.585004419	5.505087427
d__Archaea|p__Candidatus Lokiarchaeota	3.844724852	4.119766386	3.633064283	4.291315489	3.138802192	3.289211649	4.358461882	3.962013099	4.261408603	3.789858732	4.285105098
d__Viruses|p__Uroviricota	7.208390041	7.646130721	7.924172316	6.970264827	6.891230453	7.032117675	7.137165915	7.10125368	7.319058498	6.911527795	6.827282994
d__Viruses|p__Peploviricota	3.889275266	4.750903472	3.988560183	2.176462598	2.043753952	3.77872156	4.0381579	3.659847088	3.162377503	3.409177872	2.943476158
d__Viruses|k__Pararnavirae	8.968666793	7.987695386	7.183633994	1.1200064	9.014310223	5.666828866	5.027418458	6.762329509	4.741612508	2.777733331	6.065072196
d__Viruses|k__Orthornavirae	4.654288644	5.256598504	4.958042502	2.898041241	3.138802192	4.312369266	5.376377091	4.109945813	3.926175541	4.426405129	4.018857887
d__Viruses|k__Bamfordvirae	6.707145541	7.693155897	6.909445558	5.030510131	4.814167886	6.485996167	7.233120062	6.416504314	5.440161855	6.016536353	5.070876196
d__Viruses|f__Baculoviridae	5.771349633	5.596693396	4.883479583	5.510715625	5.83344325	3.607521836	4.664104509	4.542073091	3.222148485	5.453428496	4.697398096
