Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.141578799	0.147568185	0.097900699	0.30197206	0.192416676	0.115562435	0.152829737	0.24665679	0.254392679	0.1333307	0.214072419	0.17603744	0.398582828	0.263219254	0.18264175	0.264129727	0.266036132
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas	0.03544524	0.036588713	0.021332592	0.063536983	0.038164476	0.027246098	0.03603159	0.0581253	0.056251148	0.02828875	0.057274117	0.049066721	0.099984084	0.053608677	0.038071586	0.055010173	0.065801624
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum	0.031941147	0.033932863	0.025270063	0.081525875	0.041336631	0.028707885	0.034597399	0.061463223	0.049931983	0.03383581	0.051914186	0.047126346	0.082288229	0.057867818	0.03453182	0.065050957	0.062201789
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Dysgonomonas	0.016812904	0.017350654	0.015287741	0.052431037	0.027530361	0.020810171	0.020648419	0.032418049	0.025038702	0.021634793	0.024749078	0.023759275	0.03489041	0.03774555	0.028267198	0.044374556	0.024512361
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter	0.01445438	0.011985028	0.010814182	0.042175175	0.018391925	0.013541838	0.015559989	0.028014088	0.020279497	0.017609715	0.019653082	0.018454206	0.027421055	0.028444977	0.021951644	0.029908212	0.021431572
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Salinivirgaceae|g__Salinivirga	0.007985287	0.006848587	0.007264912	0.021169854	0.012195539	0.009420409	0.008330095	0.013771117	0.008778088	0.009081582	0.006232951	0.009846372	0.011078708	0.014993914	0.010262775	0.019915015	0.01024697
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum	0.007934747	0.007981031	0.006044851	0.01955195	0.010650551	0.010090395	0.007662116	0.01878674	0.017542955	0.008289144	0.012953168	0.011497755	0.022608584	0.015776206	0.013293223	0.020866748	0.0175471
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium	0.017368841	0.014802656	0.014659225	0.043272059	0.023536404	0.019592015	0.018114027	0.027472331	0.023901781	0.019748038	0.019734294	0.023862486	0.031356252	0.035181373	0.035244867	0.035713784	0.026169959
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea	0.010933441	0.012389472	0.010222637	0.033646905	0.018194692	0.014435153	0.012770193	0.03184134	0.019644937	0.014892788	0.016587364	0.014945017	0.02739599	0.027467113	0.022639224	0.027838193	0.024428643
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinifilaceae|g__Labilibaculum	0.005323525	0.005648736	0.007967372	0.024707303	0.011587406	0.011877025	0.007976459	0.013771117	0.005949005	0.009987224	0.008385044	0.010032152	0.009599876	0.017558091	0.017520569	0.017583269	0.008020096
