Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales,2333,2423,3659,2037,2327,2354,2439,3350,3422,3545,4062
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales,1156,1046,1845,963,1007,1288,1385,1780,1790,1767,2201
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales,304,316,492,266,235,280,264,459,467,374,458
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus Nanopelagicales,257,363,425,276,226,235,273,342,378,406,491
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales,238,154,297,178,228,242,271,284,293,295,359
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales,164,175,297,171,173,153,157,223,251,303,287
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales,105,122,180,118,121,111,101,173,155,242,144
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales,101,112,152,102,130,97,72,147,197,148,246
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales,71,56,121,22,39,66,68,66,85,82,119
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales,4731,4531,7737,4642,3946,4845,4954,5874,6761,5734,8033
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales,2691,2908,4816,2537,2034,4901,3501,3933,5596,5686,6185
d__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales,392,370,642,410,414,498,530,851,871,764,933
d__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales,254,172,264,271,319,208,247,295,286,303,311
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales,72,94,112,68,84,77,107,165,138,106,140
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales,52,46,73,70,57,47,45,67,102,93,109
d__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales,68,52,65,49,47,65,58,90,83,78,116
d__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales,124,134,240,112,150,118,119,158,141,171,155
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae,2824,2705,3740,2142,2441,2914,2974,3211,3196,3461,4115
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochloraceae,444,924,782,337,300,298,625,638,445,507,545
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Leptolyngbyaceae,297,513,710,476,417,372,370,509,553,569,536
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Pseudanabaenaceae,165,278,386,107,82,77,123,191,190,114,139
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Merismopediaceae,62,123,160,28,37,47,49,62,135,98,117
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae,83,119,147,41,53,165,196,144,129,118,184
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Oculatellaceae,94,82,122,84,30,142,99,130,160,110,141
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochlorotrichaceae,84,77,112,41,49,77,140,102,112,70,145
d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Chamaesiphonaceae,70,91,106,23,89,119,42,57,44,126,58
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae,1379,2764,2828,1017,1006,1286,1859,1687,1737,1707,1784
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae,606,1124,1290,508,608,513,862,829,870,884,1124
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae,469,510,683,393,199,271,356,389,331,457,346
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae,198,400,496,118,59,239,223,199,149,140,167
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae,163,344,264,159,111,161,208,234,285,194,236
d__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae,121,211,185,77,49,73,136,127,89,85,102
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae,438,868,777,441,348,295,546,513,486,556,638
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae,569,929,729,316,190,348,731,604,701,423,560
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Microcystaceae,146,242,235,159,129,270,245,206,179,153,174
d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Geminocystaceae,75,138,133,218,180,82,95,138,208,179,251
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae,366,731,691,334,314,297,482,590,609,464,659
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae,240,399,562,213,122,251,256,243,357,226,363
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Gomontiellaceae,79,121,158,59,32,63,55,72,34,51,35
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae,53,105,148,47,80,81,73,122,127,142,117
d__Bacteria|p__Cyanobacteria|o__Oscillatoriales|g__Koinonema,54,62,100,54,29,37,34,54,142,79,77
d__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Dermocarpellaceae,103,241,202,74,58,242,224,141,157,129,181
d__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales,142,160,249,143,274,241,163,216,192,224,218
d__Bacteria|p__Cyanobacteria|o__Gloeoemargaritales|f__Gloeomargaritaceae,122,98,206,142,116,110,117,150,140,196,269
d__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae,48,86,80,42,22,84,84,109,81,39,91
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales,3967,7614,5570,4900,3279,1998,4406,4250,4020,4288,3801
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales,2297,4931,3423,2923,1355,1196,2703,2485,2501,2442,1988
d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales,1168,1477,1167,1750,573,510,1006,1659,3771,1894,1338
d__Bacteria|p__Tenericutes|g__Candidatus Izimaplasma|s__Candidatus Izimaplasma sp. HR1,133,150,135,179,53,221,206,199,332,150,169
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales,1277,1200,1988,1415,1400,1440,1254,1690,2143,2089,2416
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales,804,768,1271,623,741,873,717,958,1369,1200,1690
d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales,58,26,72,58,38,74,57,68,61,72,64
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales,307,501,898,341,323,294,222,482,648,623,829
d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas,222,178,251,219,150,326,235,264,255,316,314
d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales,343,453,622,298,200,329,349,558,557,392,536
d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales,351,270,465,249,357,355,275,550,429,389,467
d__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales,119,108,193,90,63,133,125,195,159,129,166
d__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales,182,93,172,106,142,203,223,231,220,211,310
d__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales,124,104,171,120,155,176,161,206,224,221,213
d__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales,78,82,102,106,51,84,70,97,151,132,134
d__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales,71,75,113,71,69,38,58,89,124,127,162
d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales,234,181,186,271,285,45,98,181,140,279,267
d__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales,67,66,89,62,34,57,68,78,67,54,56
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales,931446,717398,582559,453411,134459,155156,507517,451709,928552,282521,453313
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales,783,920,901,597,452,363,692,759,1181,698,1032
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,6824,10325,16028,13320,6170,11611,20587,20408,34502,26398,33967
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales,2880,3977,4983,3185,2490,4691,5039,4658,4901,4537,6059
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales,3295,2962,4863,2823,2841,3925,3882,4679,4159,4184,4937
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales,3212,2738,4817,3139,2629,3968,3954,4522,4570,3946,5354
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales,576,602,928,738,555,601,806,917,1114,817,1268
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales,415,353,416,316,308,277,271,436,344,441,467
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales,184,175,256,183,193,208,284,280,290,249,339
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales,88,95,191,46,24,69,78,78,166,68,78
d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|f__Candidatus Desulfofervidaceae,87,273,134,45,38,67,132,106,48,65,77
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales,27369,35441,40455,37262,336919,25271,30903,31017,30733,32327,38207
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales,18760,20802,27045,16797,17058,18452,19670,21793,21645,22989,27730
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,25269,21156,13724,3862,25939,3665,4696,9134,4921,4397,9453
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales,8796,11183,12866,7994,7097,7196,9339,9370,9861,11215,12300
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales,9853,9587,9730,5329,8557,5717,6343,7903,6830,7143,9122
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,6457,5183,7883,5799,6082,6985,6614,7704,6133,8039,8596
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales,4710,5937,6797,4394,3608,3572,4557,5042,5071,4772,5958
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,3597,3249,4623,2730,3547,3551,3148,3454,3414,3876,4517
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales,3435,3043,4497,3145,3034,3635,3618,4313,3925,4069,5044
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales,2609,3836,3867,2387,1829,1783,2751,2919,2917,3078,3703
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales,2276,2080,2810,2250,2188,2335,2309,2635,2820,2756,3347
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales,1652,2723,2595,1652,1323,1196,1991,1887,2428,1921,2681
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales,1592,1506,2088,1442,1447,1641,1614,2035,2067,2270,2565
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Candidatus Thioglobus,155,125,150,135,57,69,88,43,78,87,63
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Gallaecimonas,85,71,145,29,42,124,66,55,72,85,89
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Pseudohongiella,187,183,143,200,256,64,57,137,110,275,271
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|g__Sedimenticola,46,64,138,54,35,112,87,121,94,105,157
