Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella,17.42507629187367,11.496596788457795,9.431545975607175,7.928461075932068,4.5352992463400525,2.3562212510300085,10.641343046836443,6.227860788181833,14.586181037760799,3.2858542760659764,14.51709231586793,9.276754285161307,19.341071243654742,6.037114326414111,4.583852958785147,8.694563621958462,17.138012526693714
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum,9.018940208299787,20.06514298958035,5.289441127634235,9.464968482710804,4.539785116691654,1.846046332126876,20.92643179053279,5.688933660178282,37.75215519525932,2.5564239404439726,24.80798688486133,22.054389017821503,25.15281963204045,6.647499686943431,4.5469478443738875,7.138797962409801,23.673020102719097
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus,0.4414108568940288,0.45324128637929484,0.2305562556879073,0.7130876586293504,0.47874017872651875,0.2502268626203415,0.3943148791668106,0.667426543015052,0.7592685559342378,0.2536929056391838,0.7602679312623953,0.47824110955393534,1.5375841109422412,0.6476062299525607,0.4635563346034889,0.7281484522827464,0.792901017804748
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,2.764637960381312,4.840987100544428,4.207290911084901,19.791678054702853,31.911587880055247,15.662136367903374,12.324822847719107,26.123883829406125,12.650235802837246,31.15715691176652,5.818482075857601,6.419058448235044,6.51123030786723,14.533388895589466,14.917041841646258,19.886493619660712,9.766098379143283
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,2.094673351909462,1.623201865506052,1.481309031579069,4.6155351034417285,4.494656586387576,4.849519677072794,3.3811358461979033,4.0156430594417,2.1759338409348072,5.1637447039222595,5.3104413321797885,9.442821026365039,3.3539777559048938,4.2376905349911915,1.6654581097232817,4.79032081875266,3.1550083875247132
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,1.3021867191910548,1.8824119591059372,1.8661338392243858,3.235247578304137,2.468324864707162,1.6975582280725543,1.861393699492052,1.7324708318865338,1.400058111517034,1.1333622578785336,1.1949990833664017,1.5740483131524514,1.5750045239213455,2.62026618686952,0.5804855697220282,3.2636851152202766,1.961494879282509
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,0.141446183166458,0.15932159800046217,0.14187781268819397,0.8120556867776988,0.3027119278618082,0.17508579057711762,0.20403230883903056,0.9869670849257212,0.3006686629703248,0.5931217950339279,0.28203623877703987,0.22518805632790317,0.5315999828457086,0.6797075002358014,0.33736029550027774,0.5646691301569126,0.24512155685275486
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella,0.07488534834473574,0.09382502082506626,0.07580669677128889,0.1918080940886742,0.11401868213223873,0.08676061039082954,0.10701236664073782,0.16035171627212877,0.15801277094358915,0.06755113515869264,0.13843382443375987,0.12258438557897847,0.1962283570895862,0.1648649290624192,0.06373291720070115,0.1565986256185407,0.15117222471147804
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola vulgatus,0.5039152550414012,0.4699538250512115,0.30355387181741744,4.50281512254486,2.3864155703548056,2.101071208786624,1.2855497762874895,4.397670802741587,2.3887013598040627,2.62467549059855,1.3420190959355685,0.48770224803562573,0.8632060324529905,2.3936662717810693,1.5480155531012183,2.7328167788546653,1.4586090936336136
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola dorei,0.3555378561661629,0.3045825642918242,0.25583798146391584,3.459680597951017,1.9377442143234176,1.7303933328465784,0.9119102794019981,3.3291741823016405,1.6918252207789173,1.9859229556475173,0.8662345725502307,0.2710896985050537,0.4004062638267249,1.9159062024866031,1.221597110702375,2.2099089563314336,1.0083836936001436
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola salanitronis,0.11620809237952515,0.14521953024506795,0.11649988552034371,0.34546746569923503,0.22321421042779352,0.15372419763645656,0.17513145521789375,0.25736223334599795,0.21479245246094664,0.17070669927487592,0.21186999371963586,0.16416587319827955,0.30639760927754284,0.2521287270162861,0.1395423981948374,0.2990591777567674,0.2359268863484742
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Phocaeicola|s__Phocaeicola coprophilus,0.07700175008787477,0.08863170302288388,0.07007309381752135,0.37184934994691976,0.19481494098382218,0.14060267228521064,0.14541820936566383,0.3066215537781499,0.18887602051896465,0.18375517123525317,0.12579714951211673,0.1072046353530344,0.1593832404665549,0.20600621224151502,0.11347106920006139,0.24255710789760823,0.16778532255443968
