Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia intestinalis,1.0890570119629552,0.1790429377397125,0.532921548741115,0.21162953944961913,0.06430434905531558,0.12652393975638176,0.25304063347983824,0.137653241419591,0.12974970879884942,0.1825496142827989,0.15447450645220046,0.3168131191880711,0.22412910729052346,0.6205853336914103,0.8767931013906293,0.4185941813319531,0.22404139578702884
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia hominis,0.5886105525260386,0.1045912484290544,0.282589322114635,0.15103817736060185,0.03759608808191977,0.08798102116799265,0.14651352318269117,0.08042767486994297,0.08032889188041482,0.13055714291718548,0.10699777867114742,0.23133063643121565,0.14551483805111914,0.4251706136101647,0.6186433974596487,0.3105590062111801,0.13357710061348516
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii,0.8905161816415683,0.1858384612675097,0.42275152786102316,0.28874945671879765,0.1083970411577911,0.15817300298749803,0.29393113192803993,0.17947374215983747,0.16158520435980422,0.29050404210331654,0.2276565681169792,0.46759398007079633,0.26742796422859005,0.8271212167041089,0.98881640390281,0.6540070738440305,0.244860126931031
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus johnsonii,2.2373722589082266,1.0564629914791779,0.6173431120253403,0.007924101514944135,0.146113436721573,0.0047244603147744,0.49900356855487094,0.31601649570666485,0.6560787337284502,0.1866591988458294,0.21294471035962678,0.5028161758667433,0.4088639244522102,0.6567596658640487,0.3520286313382153,0.04643558057280883,0.4251330092105907
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum,0.9520545224796373,0.41407833095296165,0.20293599171853313,0.20982860728713185,0.26511758753020975,0.6053094256357894,0.17443685156077457,1.5503119525826403,0.8812457541525703,0.3205008960918006,0.9442533759132938,0.39035045151602094,1.0720476245591675,0.2921443954685538,0.22810567173043914,0.6573094591097308,0.37096683920375495
d__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila,0.049475845343116706,0.03919471883147567,0.03826506892719051,0.14227364083649696,0.06294086426087794,0.03687971572247363,0.04747740754756459,0.09961312492705039,0.06449140165177175,0.040084016097740864,0.07514903165797787,0.07548375192908846,0.11197739813612714,0.10717868011960749,0.0708428565282976,0.12414272774327123,0.07489122856976255
