Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes,35.92372539194108,44.43619360840281,26.125718798070917,65.66724557069723,56.623417829335324,35.88533670764215,56.02025815191026,59.79019724776813,77.74115355662981,52.85668836935751,58.47546637819624,52.37634968457198,64.42179674199818,45.16454150909975,34.13286303799643,55.898640116592745,63.34075053845808
d__Bacteria|p__Chlorobi,0.04215359634764517,0.029679872560360105,0.030520801577228373,0.06076897656653074,0.03452022367303885,0.03291524889589972,0.03710852858585644,0.05686575070797939,0.046985834018337336,0.03451645921782989,0.04806577852925535,0.0562264732562892,0.06887684819542658,0.06123456867363031,0.06009943347648972,0.05878625716538083,0.05793173173390479
d__Bacteria|p__Firmicutes,27.44333289858862,8.558407842581762,17.59152964771797,10.177098510755275,4.851712375695301,7.392515398674676,10.264758632861192,9.596443736696362,5.997247124714252,10.369841795431743,8.314300194081206,14.07877917431242,8.940445638976405,22.264435580334396,28.016674944730397,16.602798921994115,8.282919598013326
d__Bacteria|p__Actinobacteria,6.0801648452111206,9.368415139794257,9.36768481288757,1.714362258172225,9.114479717942757,16.70724294773999,2.965244943085164,6.0010261777824185,2.733104141380869,6.580205984788214,2.8770720554881346,5.704025225040085,4.021415738809762,4.908541127459012,3.222895443334639,2.7408662679256723,3.146781579073868
d__Bacteria|p__Cyanobacteria,0.2789594582872847,0.1340800132858884,0.2750715631559592,0.2163100792842558,0.12502324486800592,0.15455772557357458,0.2007150044676229,0.1888532239085331,0.14011670291994702,0.16081719870789257,0.23754494093477146,0.24840867386805165,0.2262437174392488,0.29506772363423645,0.3029840404918206,0.2744218115921944,0.21980254211137595
d__Bacteria|p__Tenericutes,0.16260804394208203,0.09841017943790255,0.24912800829494938,0.24491590353802034,0.08059721788009505,0.17430687491111443,0.1724215994551995,0.21218563697007237,0.061885289279415355,0.1225009788513819,0.1592912778603494,0.16791260799585309,0.09165120302587415,0.1449530945550112,0.24917086959735454,0.19234450809374604,0.13907647267703216
d__Bacteria|p__Deinococcus-Thermus,0.05235657636665329,0.02776462742762141,0.035325163588526484,0.051544456910085225,0.03288426524679484,0.029575742593925057,0.0359812276676606,0.040035025843409885,0.032036919984608433,0.041891771016511495,0.03882381638493833,0.05246909556851808,0.05544759337139366,0.08227173211323,0.08321814275250339,0.07281674909849255,0.04670513275763417
d__Bacteria|p__Chloroflexi,0.04831594666493601,0.023934137162144008,0.03366547489371441,0.04124047218745991,0.023698883991186234,0.02926866155466302,0.03211883599712076,0.04178055297018255,0.028302782649466885,0.03464626470548669,0.03369149724331965,0.053638483522365214,0.04626401361200345,0.06328745172303363,0.06647780246997158,0.0568524987059933,0.03923107100823853
d__Bacteria|p__Proteobacteria,15.988288102202034,17.63893207473878,17.83744310106718,18.75178019736056,10.51699137939962,8.640607897625323,19.544219302533378,15.908301855127013,9.50522185721648,16.249959583291343,20.265861706914652,16.778416702387315,15.947055508971065,18.203891562416054,29.114974821561095,18.367761754082217,16.195268391696658
d__Bacteria|p__Spirochaetes,1.1262592255844561,0.5248414363413008,0.8396976571310272,1.1798307840375575,0.25887165996198874,0.3056607894554513,0.42397602729916256,0.2441175735827761,0.17554154883114081,0.7296366461188513,0.5581539104862938,0.4518821778374528,0.23750398608895334,0.8770698437736448,0.9405906738113611,1.0053395368304712,0.4353563437262074
d__Bacteria|p__Planctomycetes,0.12098487774833025,0.07621133148998488,0.09390343931173584,0.11751449243184589,0.07768551205723874,0.07062863903026878,0.09251259666374369,0.10159288158023691,0.09707520602051747,0.08324071908464002,0.1082142862553842,0.1291694431642948,0.15196747812900485,0.143584505855409,0.1337615360402026,0.1446021603519784,0.12412834917824085
d__Bacteria|p__Verrucomicrobia,0.06574213730902174,0.060709414509562916,0.05815898594767788,0.14084565783950465,0.08292358077979985,0.05840297515464889,0.06693580206074304,0.1076461774877605,0.08302891458766715,0.062271232578628495,0.09198403716177828,0.10323203494207887,0.12891623144651532,0.1246979818008985,0.08694845241656138,0.13467553359378912,0.09863590619897442
d__Bacteria|p__Chlamydiae,0.014696035440222707,0.00847078216426042,0.018763217455033353,0.013861312781626915,0.008254836095726682,0.008790194748875843,0.01343520930374384,0.010104840522876654,0.007183886727540525,0.007953536243698238,0.013275851358947205,0.014339380155371402,0.00865287037630987,0.01818267843757222,0.020424596740860685,0.018607053620328873,0.010978497341435918
d__Bacteria|p__Fusobacteria,0.12986178238260487,0.07006712227220568,0.18090606773451617,0.16425042313803928,0.04924384950923498,0.11504023433354107,0.10288006904256115,0.12077766596439894,0.046033752644807864,0.07275007558219532,0.10122599930609531,0.10432474171862456,0.058493403743854734,0.120944138510561,0.13341613699723429,0.11596104894793871,0.08913051231436958
d__Bacteria|p__Thermotogae,0.04791032360607636,0.020849178559074963,0.04348384380407637,0.049581793153394685,0.019766580251040073,0.031917235518298094,0.0317492291386959,0.04874664746693587,0.02790711246825983,0.030704898080271242,0.03827460142144408,0.04330569488099465,0.034749927431260444,0.05664002089639431,0.05514871386061029,0.051094195738039326,0.03425353195936716
