feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X23	Sex	M	-0.227721623065976	0.279707644494951	12	12	0.442374618976592	0.807756802423495
X57	Sex	M	0.355137397808751	0.43169069515364	12	11	0.437820317129875	0.807756802423495
X58	DSS_only	TRUE	0.0755968140090357	0.0932931466386756	12	12	0.444429848432479	0.807756802423495
X106	DSS_only	TRUE	-0.151024793027422	0.183935366025594	12	7	0.438667777384026	0.807756802423495
X136	Sex	M	0.333007143557892	0.406012009516398	12	11	0.439139663706065	0.807756802423495
X137	RCE_only	TRUE	0.163330571803985	0.19931057311552	12	12	0.439519938797325	0.807756802423495
X164	RCEwDSS_only	TRUE	-0.230860853704981	0.2846948030103	12	12	0.44411163783504	0.807756802423495
X238	DSS_only	TRUE	0.100343331887994	0.123971193678167	12	2	0.444917569236012	0.807756802423495
X359	RCEwDSS_only	TRUE	-0.229743194444435	0.280872702087522	12	12	0.440329485439721	0.807756802423495
X397	RCE_only	TRUE	-0.326750492951264	0.402962692877969	12	11	0.444131060029797	0.807756802423495
X465	RCE_only	TRUE	-0.508115019351201	0.624857284992048	12	10	0.442895936542681	0.807756802423495
X495	Sex	M	-0.117596952602812	0.143896539303292	12	12	0.440719391033383	0.807756802423495
X556	RCEwDSS_only	TRUE	-0.213832849235557	0.262694102515404	12	12	0.442450842633128	0.807756802423495
X556	Sex	M	-0.229279609650516	0.278629171899534	12	12	0.437704226200819	0.807756802423495
X557	RCE_only	TRUE	0.286353611125121	0.348705563760727	12	3	0.438606526707597	0.807756802423495
X584	Sex	M	0.354292298563973	0.433299717276049	12	10	0.440490346626818	0.807756802423495
X609	RCE_only	TRUE	-0.265346300155302	0.326004571739425	12	3	0.44248577329314	0.807756802423495
X640	RCE_only	TRUE	0.0960981347839552	0.117590108646501	12	12	0.440720952444539	0.807756802423495
X671	Sex	M	-0.303089081810096	0.371004032748499	12	7	0.44087441283616	0.807756802423495
X732	Sex	M	-0.490903191579115	0.59794263270755	12	11	0.438714809725916	0.807756802423495
X734	Sex	M	0.350808069682778	0.432987718166149	12	11	0.444489821228075	0.807756802423495
